Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,2.638714407352691,10.201560294697504,14.381463878768288,1e-05,1732242758.8184738
2.0,2.295634144689979,12.432811747433885,18.364432122048893,1e-05,1732242796.807213
3.0,2.286013743869161,14.046559573096514,21.283874988043067,1e-05,1732242841.6163332
4.0,2.275796706238745,15.123351231219658,23.88732237330652,1e-05,1732242885.6308446
5.0,2.264183615984982,16.4178816888386,26.011780372254467,1e-05,1732242931.1721308
6.0,2.2539392552986275,17.620338098720918,28.12384424714629,1e-05,1732242975.992483
7.0,2.244342669819068,18.36484781517209,30.00337956079665,1e-05,1732243018.7769177
8.0,2.233303953476212,19.437242879004057,31.81039124771401,1e-05,1732243063.8037405
9.0,2.223408588772253,20.40745944130888,33.60416111664727,1e-05,1732243107.2749412
10.0,2.2144600832062844,20.58509849174753,35.2947660430484,1e-05,1732243152.6043434
11.0,2.2017430956531348,21.7186288298528,36.82795164194749,1e-05,1732243198.4865282
12.0,2.1901792224439096,21.890572500307705,38.39799917679255,1e-05,1732243252.0971508
13.0,2.1780202439311536,22.63444099693781,39.93875193494341,1e-05,1732243301.0884123
14.0,2.1657089620828627,23.60371103095388,41.439778322552925,1e-05,1732243349.4605367
15.0,2.152684836043525,24.19790782172699,42.82852613393232,1e-05,1732243396.660339
16.0,2.1383594014623144,24.31311732187084,44.31385224835155,1e-05,1732243440.8089805
17.0,2.12383281161614,24.88123835240407,45.63516025789119,1e-05,1732243486.4870496
18.0,2.11656304750687,24.90256831513168,46.96437152471155,1e-05,1732243541.3643515
19.0,2.098786136991269,25.23545452390339,48.30865361279795,1e-05,1732243585.569847
20.0,2.085007787168339,26.176690753567687,49.64465928027031,1e-05,1732243629.6454215
,,,,,
,,,,,
	Test set:Loss: 2.077097 Acc: 26.315269 ,,,,,
