Epoch,Loss,Accuracy,Epsilon,Delta,time
1,4.45864695265093,10.08275981246619,6.792210899799941,1e-05,1731404922.7962408
2,4.410714740338533,9.905876185633446,11.939641162868131,1e-05,1731404948.076084
3,4.339403046637165,10.038742367025549,15.443868436063354,1e-05,1731404973.4249766
4,4.273228497151524,9.910360070080754,18.37031484123732,1e-05,1731404998.8028684
5,4.21208569399841,10.045033932778862,20.98114916472816,1e-05,1731405024.0471716
6,4.157120045493631,9.815852372273795,23.385561079305333,1e-05,1731405049.3258922
7,4.124905000483324,9.843768735760822,25.64146318831668,1e-05,1731405074.806761
8,4.058246687358739,9.95772047746264,27.78392931064033,1e-05,1731405099.97972
9,3.9912225041548006,10.051877756408963,29.836098605996245,1e-05,1731405125.94443
10,3.958388849788783,10.005473646151374,31.81418444987921,1e-05,1731405152.1091373
11,3.924627372980728,10.188895825361984,33.73006622025731,1e-05,1731405178.1895096
12,3.8691696919956975,9.935075777358188,35.59275511852644,1e-05,1731405204.470146
13,3.839617841671674,10.183174969715324,37.4092796003215,1e-05,1731405230.2339208
14,3.807203008460508,9.931124501548489,39.185245281523954,1e-05,1731405256.102589
15,3.772805216969276,10.033610823758638,40.92520761400492,1e-05,1731405282.346019
16,3.709027395635692,10.166429763379831,42.632929818292354,1e-05,1731405308.6314962
17,3.6904457187166018,10.134138854852964,44.31156254484683,1e-05,1731405334.8117154
18,3.646395316160736,9.933401691192843,45.96377448753041,1e-05,1731405360.720477
19,3.62590866247002,10.015360105656436,47.59184982389559,1e-05,1731405387.2125354
20,3.5775039042789096,10.256430530534583,49.1977615630121,1e-05,1731405413.0715983


Test set:Loss: 3.561088 Acc: 10.170000 
