Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,2.4091609357953905,9.903369540001725,14.342151125796669,1e-05,1731646472.3425422
2.0,2.304561812524761,11.855785817483508,18.406746591493867,1e-05,1731646502.2047646
3.0,2.286271169523879,13.690858275895762,21.270049550514,1e-05,1731646534.9363148
4.0,2.2696881397164983,15.019697086805254,23.85718244824675,1e-05,1731646565.7708926
5.0,2.254236771414677,16.52051663402791,26.044764464118,1e-05,1731646598.8475316
6.0,2.2388118167237017,17.563029405190772,28.10858698671536,1e-05,1731646634.020058
7.0,2.224822930453979,18.507685723944373,30.02732098020535,1e-05,1731646671.173284
8.0,2.205772984888136,19.69910897867096,31.833148344792228,1e-05,1731646705.4472315
9.0,2.189264049460163,20.60490700485205,33.66069594504213,1e-05,1731646738.470378
10.0,2.178158671444,20.956084962515405,35.2738227484035,1e-05,1731646774.3673782
11.0,2.1598556576250285,22.23787080945004,36.8847493913379,1e-05,1731646810.1991055
12.0,2.145272267149577,22.73153849563192,38.39406436586269,1e-05,1731646849.2401934
13.0,2.129541187548856,23.46743246463856,39.96171025336717,1e-05,1731646882.1498086
14.0,2.109767588220033,24.4708994066681,41.44351172669384,1e-05,1731646918.5156894
15.0,2.09354190797936,24.64470795478262,42.82487135610466,1e-05,1731646954.6320455
16.0,2.076013058171861,25.4445999137664,44.2280121509503,1e-05,1731646991.4372768
17.0,2.062950373718301,25.898335313927173,45.61761012490954,1e-05,1731647026.4699738
18.0,2.040620402970784,26.67096911988916,47.01264204629649,1e-05,1731647060.5636382
19.0,2.02280805275358,28.02714481391294,48.3188289878167,1e-05,1731647096.0058231
20.0,2.010791197576021,27.91572269764544,49.66469106058286,1e-05,1731647134.659003
,,,,,
,,,,,
	Test set:Loss: 1.996498 Acc: 28.490902 ,,,,,
