Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.279998643448833,18.54231877997068,14.459402577171364,1e-05,1731481267.3866112
2,1.8067680415009304,34.403299824432345,18.304941219890267,1e-05,1731481298.764632
3,1.6663619383162394,41.62042442148776,21.290783245225505,1e-05,1731481330.043814
4,1.6299645532821787,44.95709889607954,23.8148677071406,1e-05,1731481362.0436
5,1.599872843479006,47.2767902467228,26.011780372254467,1e-05,1731481394.454476
6,1.5620749952892463,49.635550027756366,28.12892823390232,1e-05,1731481427.2977507
7,1.5841067453052686,50.848121828930125,30.02253405211357,1e-05,1731481460.587463
8,1.599390470128617,51.56715892258623,31.84224713034223,1e-05,1731481494.6615615
9,1.563006136209181,52.67059493284586,33.57368736430317,1e-05,1731481529.620877
10,1.5629855949699147,53.7276909768928,35.2947660430484,1e-05,1731481564.476216
11,1.5318276290179922,54.83377631363104,36.844191209502405,1e-05,1731481598.2840078
12,1.5036226166892297,56.44714863098855,38.413736591676354,1e-05,1731481633.2549264
13,1.4861327665045678,57.14682894166165,39.90429480244027,1e-05,1731481667.6123085
14,1.486793001492818,57.75610962020952,41.37998574085388,1e-05,1731481702.198635
15,1.4783883797020472,58.41037219444741,42.82487135610466,1e-05,1731481738.4986289
16,1.4566288285599025,59.56247246951786,44.2924025969266,1e-05,1731481771.9396627
17,1.4704063404223016,59.6100795557063,45.63164970090325,1e-05,1731481803.3495011
18,1.4696676406185183,59.95395496516908,47.00919468158948,1e-05,1731481832.4460976
19,1.4548418346573324,60.50144767731759,48.33917467662349,1e-05,1731481865.5070565
20,1.4560184289061504,60.6192827694079,49.62796371141469,1e-05,1731481900.5165327


Test set:Loss: 1.539364 Acc: 58.564082 
