Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.452151133812359,15.35616184653529,14.276086578387456,1e-05,1731478283.587382
2,1.9229624430060177,29.91693736729748,18.364432122048893,1e-05,1731478306.5239682
3,1.7569528805626022,38.21028333088473,21.32528069208256,1e-05,1731478333.459329
4,1.6630396930182851,43.02513250712416,23.79664821534116,1e-05,1731478359.0949094
5,1.6671134101947844,44.661649006466064,26.072260772307487,1e-05,1731478387.223268
6,1.6714220409807952,45.94471249584253,28.144174764003687,1e-05,1731478412.7303493
7,1.653449511728367,47.29356096809209,29.97462715037673,1e-05,1731478438.877822
8,1.6332029277211302,48.74336514817995,31.86498502244219,1e-05,1731478465.232726
9,1.6309980591615314,49.27436916742376,33.56933188511897,1e-05,1731478493.3017116
10,1.6250968547489333,50.245830224017865,35.23610018630993,1e-05,1731478524.5302186
11,1.6064333210023352,51.44785587376205,36.8116959454645,1e-05,1731478553.6218512
12,1.6025745400285298,51.86568806818188,38.4530564444186,1e-05,1731478583.3197744
13,1.5582338215958358,53.50827241023032,39.91961184916317,1e-05,1731478614.9115632
14,1.56794234618806,54.1757703064901,41.39120509832949,1e-05,1731478645.7254598
15,1.5655413754489444,55.09795306983973,42.91615422247108,1e-05,1731478676.6088
16,1.5479134661810738,55.33746913232829,44.26736879507924,1e-05,1731478707.1263726
17,1.5615097770592432,56.28508735148047,45.63866957626295,1e-05,1731478738.6097114
18,1.5359902269819865,56.88702930577596,46.98851120779774,1e-05,1731478770.1250696
19,1.531813820133676,57.46659628027975,48.32900331295667,1e-05,1731478800.1348586
20,1.500124897618636,58.02976542264609,49.62128434311495,1e-05,1731478834.3091588


Test set:Loss: 1.684886 Acc: 55.112737
