Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.5344293040475896,10.293105895557265,14.459402577171364,1e-05,1731476261.4061947
2,2.304008870205637,11.023345900840203,18.287889444260674,1e-05,1731476285.1700425
3,2.2945494049517534,12.16169561129772,21.30459100522914,1e-05,1731476308.0727737
4,2.284458764091108,13.343022645753983,23.766408590880005,1e-05,1731476333.0315468
5,2.2782310102739904,14.10463846866239,26.03922340518469,1e-05,1731476359.923451
6,2.2682836782994262,15.143444034050594,28.09332160282508,1e-05,1731476386.041613
7,2.2598085229595504,15.939116007318734,30.032107109116847,1e-05,1731476411.110778
8,2.2510912533464102,16.915031270817384,31.84224713034223,1e-05,1731476437.437844
9,2.243763205025352,17.371862329324,33.62156454892667,1e-05,1731476465.6739914
10,2.233878258641784,18.041444499686744,35.2738227484035,1e-05,1731476495.514647
11,2.224549767077993,18.849448531738982,36.87664143866255,1e-05,1731476523.6828845
12,2.2179904825066865,18.98083961373091,38.405868458420834,1e-05,1731476552.3107731
13,2.2071095410612167,19.900735519973026,39.93109647219256,1e-05,1731476581.508393
14,2.195869854280165,20.21108825129883,41.43604205757675,1e-05,1731476610.014469
15,2.1882581780337143,20.80974204478004,42.82852613393232,1e-05,1731476638.1281114
16,2.176272931270697,21.0931047807507,44.2280121509503,1e-05,1731476666.669052
17,2.168147156957468,21.47179809060216,45.645687366069744,1e-05,1731476698.4344602
18,2.157522068352535,21.86318789693602,46.99195852236261,1e-05,1731476730.3739176
19,2.147441336291997,22.565054543268754,48.32561105779184,1e-05,1731476761.6927211
20,2.140219060513152,22.52915431908793,49.614603537416976,1e-05,1731476792.28584


Test set:Loss: 2.137248 Acc: 22.794699
