Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.569031718245938,10.114045525338272,14.236039762533949,1e-05,1731475436.647416
2,2.3075483123813054,11.204757232671485,18.338972062883897,1e-05,1731475463.527377
3,2.2968306036853288,12.540285212774736,21.32528069208256,1e-05,1731475489.3739913
4,2.2863868166347445,13.804496630248597,23.76035551725529,1e-05,1731475516.979827
5,2.273416743876626,15.529101530449111,26.0612783569528,1e-05,1731475542.1384385
6,2.2628121860390578,16.778087987766312,28.13401125831378,1e-05,1731475567.2585027
7,2.250938643651511,17.951691334130345,30.05602768499971,1e-05,1731475593.9913702
8,2.2380742979479264,19.48337515021559,31.883253599166142,1e-05,1731475620.8017132
9,2.2273263902987464,20.01773018869088,33.57804200251521,1e-05,1731475649.4359665
10,2.214284423437752,20.803772716846723,35.28220119432328,1e-05,1731475675.163934
11,2.200492109936764,21.662928669628524,36.88880152986742,1e-05,1731475702.7524378
12,2.190025203609631,22.0815862599122,38.39799917679255,1e-05,1731475731.9041193
13,2.1755703509681754,22.790161928101835,39.91578278381648,1e-05,1731475761.6594913
14,2.161557191735381,23.426290221447097,41.40989223626667,1e-05,1731475790.68578
15,2.1507852313375304,23.69701548344174,42.86505196686991,1e-05,1731475820.5412192
16,2.137340916551044,24.44954882294572,44.278098532539,1e-05,1731475852.12959
17,2.1263688844991915,24.601013859188186,45.659724470995215,1e-05,1731475880.9792533
18,2.1123665019768434,25.2031787296917,46.96437152471155,1e-05,1731475910.6166227
19,2.104548859762688,25.257340324832768,48.32561105779184,1e-05,1731475941.7613623
20,2.0921377329017585,26.200044663920156,49.66469106058286,1e-05,1731475971.8090796


Test set:Loss: 2.090564 Acc: 25.761472 
