Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.2029073560504617,20.256300691493266,14.315809860632594,1e-05,1731455236.228439
2,1.8044884620514592,35.192756545017204,18.35595143620476,1e-05,1731455266.0158684
3,1.676151785858718,42.04051363143809,21.283874988043067,1e-05,1731455299.110643
4,1.6373087717461463,44.98721911811356,23.8148677071406,1e-05,1731455332.513888
5,1.6353961857283466,46.80101371794197,26.08871654982719,1e-05,1731455365.7760253
6,1.626675983849357,48.76734124457763,28.11367374871816,1e-05,1731455399.8473072
7,1.6117536371030132,50.3072597473633,30.02253405211357,1e-05,1731455433.7664044
8,1.6142143618622091,51.56991723842608,31.85589166599959,1e-05,1731455466.799004
9,1.5961624775526873,52.387119198601326,33.58239642067294,1e-05,1731455500.8308048
10,1.5727121694100334,53.31452630232576,35.223518480939234,1e-05,1731455536.154859
11,1.5946474738725245,54.00592646387095,36.8523067385654,1e-05,1731455569.955343
12,1.5644041487445002,54.60314794280536,38.437331987408186,1e-05,1731455603.7484837
13,1.5738194251820543,55.71157348925112,39.90429480244027,1e-05,1731455641.7176385
14,1.558186133979505,55.896760754479125,41.42109940448244,1e-05,1731455675.8982103
15,1.5435947283318168,56.97007078360991,42.86870472139223,1e-05,1731455712.4462223
16,1.528585553798877,56.87857324950911,44.27452204211273,1e-05,1731455745.7189686
17,1.5362220091697498,57.108632335750784,45.63516025789119,1e-05,1731455782.3752587
18,1.532976292930873,57.50277135445957,47.026428602119545,1e-05,1731455818.8325543
19,1.5159306287338994,58.18112417728219,48.34595579737107,1e-05,1731455857.3878255
20,1.540081250446814,58.499320433744785,49.60791987544441,1e-05,1731455895.3464215


Test set:Loss: 1.593239 Acc: 56.625791
