Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.211084381793825,19.590833998408552,14.28935725734483,1e-05,1731452739.761984
2,1.81177506166346,34.99048654187866,18.228015216540143,1e-05,1731452774.7845094
3,1.6912761548979092,41.2624584299898,21.36658205844855,1e-05,1731452809.8921716
4,1.6670578371120404,43.96969993870449,23.85718244824675,1e-05,1731452842.6981251
5,1.6380435329934826,46.52913634702402,26.05578109824592,1e-05,1731452874.017234
6,1.651767347766235,47.37114063667351,28.174643945433743,1e-05,1731452904.6490638
7,1.62707182973878,48.725421814702166,30.008169259341848,1e-05,1731452937.1497023
8,1.6127459310521983,49.6522927571333,31.81949578150013,1e-05,1731452969.139032
9,1.6101227188110352,50.356688452194994,33.61286369992997,1e-05,1731452996.4067788
10,1.597642026616667,51.57862050612512,35.25706076501012,1e-05,1731453031.417161
11,1.5914804702175074,52.33531758476818,36.844191209502405,1e-05,1731453059.3787549
12,1.5861321601330274,53.11608373614932,38.449125830995264,1e-05,1731453083.8449593
13,1.5752459801534988,54.20011117341505,39.96171025336717,1e-05,1731453114.6147826
14,1.5798807989892265,54.600761560506406,41.4136287513795,1e-05,1731453143.2334044
15,1.5477151522864254,55.13117063405273,42.82487135610466,1e-05,1731453176.69372
16,1.5497859865687984,55.81538029998697,44.26736879507924,1e-05,1731453210.1237578
17,1.5210123386227654,56.67978458313511,45.607078840610654,1e-05,1731453244.4358768
18,1.5204455076119838,57.260562348461576,46.9747165500593,1e-05,1731453278.7244048
19,1.4992884487878322,57.57255989492298,48.32222125290775,1e-05,1731453313.0675144
20,1.4995251378442487,57.79970796634861,49.62796371141469,1e-05,1731453348.5220616


Test set:Loss: 1.568676 Acc: 57.001582
