Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,3.216253462291899,9.765402956425808,1.5805933638869052,1e-05,1732483191.8998878
2.0,3.022833386956895,10.370337462628656,2.219882714888448,1e-05,1732483218.0953228
3.0,2.645804933438026,10.117415817163954,2.679444267761588,1e-05,1732483244.7428246
4.0,2.794822958639435,9.956526735240068,3.2278680570492693,1e-05,1732483271.8528824
5.0,2.455930658061095,13.906378370452249,3.407755838500388,1e-05,1732483297.8595753
6.0,2.599802624697637,10.689715953989989,3.719954605169979,1e-05,1732483324.121934
7.0,2.4056897019258976,13.693124783350344,4.009804972956477,1e-05,1732483350.4803207
8.0,2.4108281722619904,13.645595740633633,4.282176553944336,1e-05,1732483377.0137827
9.0,2.3720811668195223,14.176350052692246,4.540380489036714,1e-05,1732483403.7001224
10.0,2.278491245375739,16.331947645540108,4.786792264617847,1e-05,1732483429.9845994
11.0,2.310526954799069,15.434790526982493,5.023185642774728,1e-05,1732483456.2009642
12.0,2.191673280605719,21.988288046921376,5.250927356575504,1e-05,1732483482.3728683
13.0,2.233666339112286,15.760718876836274,5.47109748992884,1e-05,1732483508.7756617
14.0,2.13558722615242,23.41104010379499,5.796993093282725,1e-05,1732483535.5734825
15.0,2.1318030333518982,23.0542263507799,6.001508123708881,1e-05,1732483562.2252028
16.0,2.0911273210863524,22.82183142353225,6.094147045639068,1e-05,1732483588.2725017
17.0,2.068436452063265,23.336915922602387,6.291355214491687,1e-05,1732483614.7095385
18.0,2.034488952938636,27.41134839930442,6.484105005184672,1e-05,1732483641.1356232
19.0,2.000482649815203,28.588396385373123,6.672765517952662,1e-05,1732483667.4473293
20.0,1.9965840105456536,26.681419790086068,6.857657315913052,1e-05,1732483693.7974472
21.0,1.9370231761545087,30.22246810952861,7.0390609863979,1e-05,1732483719.6171134
22.0,1.9081308215706791,31.401131203544985,7.217223773448135,1e-05,1732483746.0801206
23.0,1.8620740334794976,33.56384371103528,7.392364891803916,1e-05,1732483772.357895
24.0,1.8707273881040027,33.19473292575693,7.56467979504459,1e-05,1732483798.932363
25.0,1.821715759272552,35.12076118079718,7.73434364319817,1e-05,1732483825.2271729
26.0,1.788919332668866,35.78916846596485,7.901514163712133,1e-05,1732483851.3243897
27.0,1.770791424139765,36.90576890722373,8.06633392168716,1e-05,1732483877.1317794
28.0,1.7717077384642022,37.33963265077762,8.228932375249425,1e-05,1732483903.3315427
29.0,1.7414595734206657,38.74020294661557,8.389427470608583,1e-05,1732483929.2782345
30.0,1.7256969668757376,39.21648008730582,8.547927007938993,1e-05,1732483955.5088527
31.0,1.6911299456304043,40.194285607958335,8.70452985122812,1e-05,1732483982.0785851
32.0,1.6649565358257772,41.386715485148656,8.859326936088847,1e-05,1732484008.3387082
33.0,1.656176979517817,41.91420833373094,9.01240212921067,1e-05,1732484034.7730217
34.0,1.660798682073502,42.66984732166158,9.163832953317252,1e-05,1732484061.2968702
35.0,1.6370956056082069,43.49490654804274,9.313691286121406,1e-05,1732484087.6509905
36.0,1.6323763859422902,43.41373730762984,9.462043873897574,1e-05,1732484113.488962
37.0,1.627006221469955,43.99374702584598,9.676286311784228,1e-05,1732484140.1374855
38.0,1.610743636987647,44.84635222709211,9.754476229465237,1e-05,1732484166.038275
39.0,1.6064873761798613,45.1167771083336,9.964783334700524,1e-05,1732484193.20427
40.0,1.6054198121904728,45.76585071403024,10.041579303351398,1e-05,1732484219.553781
41.0,1.597073984805064,46.01519814799071,10.183257308678114,1e-05,1732484245.7997108
42.0,1.6005418965912828,46.42486476062613,10.3237468246894,1e-05,1732484272.2539349
43.0,1.6033425533832026,46.66463675829616,10.463089884413574,1e-05,1732484297.799171
44.0,1.5913741123165832,47.031202989886886,10.601326106284064,1e-05,1732484324.3200142
45.0,1.5780436096334816,47.60364978012792,10.738492844555912,1e-05,1732484350.8890028
46.0,1.5789381875267512,48.25223334930027,10.87462542710976,1e-05,1732484377.1790206
47.0,1.5839374555382215,48.17943100530202,11.009757218618295,1e-05,1732484404.002385
48.0,1.5497658243662191,49.267077837389046,11.143919877734984,1e-05,1732484429.9680684
49.0,1.5688259113374068,49.0984828187711,11.277143380386246,1e-05,1732484456.3433166
50.0,1.56495962286354,49.51050976608308,11.40945619578773,1e-05,1732484482.9341085
51.0,1.5481895403537702,50.00158891752602,11.540885392393106,1e-05,1732484509.084633
52.0,1.5285140441106608,50.67903306710904,11.671456706120418,1e-05,1732484535.6418614
53.0,1.5395924594600494,50.84486230059283,11.801194635499268,1e-05,1732484561.9669223
54.0,1.512173004616472,51.45536163203597,11.930122538214334,1e-05,1732484588.6724615
55.0,1.5046390358245734,51.73746721056354,12.058262703550083,1e-05,1732484615.45502
56.0,1.5009745983993377,52.34741244357943,12.185636403033286,1e-05,1732484642.0052211
57.0,1.5087893355759163,52.326046936807614,12.312263976041214,1e-05,1732484668.4835937
