Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,3.334040064751348,10.175776009764297,4.273944506601266,1e-05,1732517390.6681912
2.0,3.04327300497165,10.261562025890818,5.854951735355439,1e-05,1732517416.649716
3.0,2.761698507299327,10.99128429398834,6.960981931190078,1e-05,1732517443.1542592
4.0,2.7042912170104216,10.608592945646429,7.883058087444262,1e-05,1732517469.58567
5.0,2.503115783110073,11.880941185789352,8.699524009121088,1e-05,1732517495.9975853
6.0,2.570300764040623,13.562686658980033,9.4451079209617,1e-05,1732517522.4763844
7.0,2.402147377380217,13.57096967810276,10.1388340937869,1e-05,1732517549.174723
8.0,2.452567505534691,10.383345850653928,10.792468540829796,1e-05,1732517575.318719
9.0,2.311147163386333,17.5735081743789,11.413892392403886,1e-05,1732517601.5906026
10.0,2.339909765926109,17.170710446590387,12.008692032495889,1e-05,1732517627.9880147
11.0,2.267892516645274,14.612252005846583,12.580999599752454,1e-05,1732517654.4905157
12.0,2.2205354458739235,17.347621190757856,13.133973686836272,1e-05,1732517681.0438955
13.0,2.2139676064252853,21.911897587020373,13.952506131420249,1e-05,1732517708.4778054
14.0,2.1322788078375536,23.14732006460917,14.191349229493792,1e-05,1732517734.867085
15.0,2.1726959898730067,17.402244700736553,14.69936444945244,1e-05,1732517760.7197006
16.0,2.072360369727839,25.01208069029313,15.195487140707492,1e-05,1732517787.4898765
17.0,2.065895624914948,24.090580607443307,15.680850044892496,1e-05,1732517813.160525
18.0,2.0330453790036818,24.895237743213684,16.37283686537328,1e-05,1732517840.5284178
19.0,2.016234306850244,24.990579177221687,16.83554017445111,1e-05,1732517868.0705311
20.0,1.948259468632515,28.8877645625658,17.081353872414862,1e-05,1732517894.6670768
21.0,1.9218817982408736,29.67723094847544,17.532067374004583,1e-05,1732517921.0953927
22.0,1.9077957377361887,30.151093044370224,17.97570240028474,1e-05,1732517947.551857
23.0,1.9031600398246689,30.57547367867302,18.412745587430503,1e-05,1732517974.03825
24.0,1.8572926000513208,33.30416140508758,18.84363007841688,1e-05,1732518000.2558136
25.0,1.8506185799314263,34.149953632183134,19.268743444562173,1e-05,1732518026.7822444
26.0,1.834982141739776,35.46620651093872,19.68843401456476,1e-05,1732518052.9980743
27.0,1.813701808752127,35.32300760361471,20.10301634782352,1e-05,1732518079.1627133
28.0,1.776889951843204,37.983255678860544,20.51277565135347,1e-05,1732518105.5117657
29.0,1.766854278724594,38.27943276609989,20.91797148753218,1e-05,1732518132.1452422
30.0,1.7342763558105008,39.25505440864814,21.318840830528416,1e-05,1732518158.857663
31.0,1.7043220666050911,39.84273240190349,21.92760920006442,1e-05,1732518186.5245447
32.0,1.6824838240739657,41.07449434813311,22.108450804438668,1e-05,1732518212.9226696
33.0,1.6748014929318669,41.91165176823491,22.497574702267222,1e-05,1732518239.5507565
34.0,1.6357464372961588,42.83590007891185,22.88314224200572,1e-05,1732518266.2640483
35.0,1.6281139372569051,43.52188687404024,23.265310684215866,1e-05,1732518292.2242856
36.0,1.6155976662130067,43.85970981191552,23.644225905099653,1e-05,1732518318.9871426
37.0,1.6178747364107122,43.99943369527333,24.020023654817027,1e-05,1732518345.441435
38.0,1.6015188936004066,45.06872480671554,24.392830540458164,1e-05,1732518372.29081
39.0,1.5706792111372827,45.79344279527974,24.76276476411952,1e-05,1732518398.9693503
40.0,1.5661194830229788,46.38890813256063,25.129936910453868,1e-05,1732518425.3800874
41.0,1.5738593935966492,46.48635734517422,25.49445061616566,1e-05,1732518452.046749
42.0,1.587341613709172,46.71555435464146,25.85640319626322,1e-05,1732518478.290134
43.0,1.5669803365232982,47.257104521774416,26.21588614855256,1e-05,1732518504.7436495
44.0,1.5678764777847485,47.87088983300832,26.57298562703641,1e-05,1732518531.578476
45.0,1.560193333542555,48.39114948264623,27.090780391668915,1e-05,1732518559.2667744
46.0,1.5638585132675746,48.73461859019187,27.280354664636235,1e-05,1732518585.5377374
47.0,1.5590058021641495,49.19044899949382,27.630773496583625,1e-05,1732518612.1910732
48.0,1.5603452360991277,49.398028366362965,27.97910805120092,1e-05,1732518638.803441
49.0,1.5368749683990286,50.36270949697551,28.325423394237376,1e-05,1732518665.5727296
50.0,1.541979967945754,50.57931227464938,28.66978123689704,1e-05,1732518692.1578424
51.0,1.536073737035548,50.76481563105742,29.012240348444127,1e-05,1732518718.8238614
52.0,1.5229744337782074,51.06536987273016,29.352856523575813,1e-05,1732518745.248225
