Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,2.9207836314472804,10.601701806958047,10.828953311965275,1e-05,1732521108.119667
2.0,2.8165630905849293,10.293252019004434,15.447469673356128,1e-05,1732521134.5990465
3.0,2.517981741634117,10.88483753192428,18.670720941737034,1e-05,1732521160.7688334
4.0,2.607060648089078,10.931273796086316,21.36983663225631,1e-05,1732521186.9854355
5.0,2.41449673276887,12.550672899318624,24.81096468395297,1e-05,1732521213.914972
6.0,2.448833799965774,12.200689045785367,25.97807888762038,1e-05,1732521240.476802
7.0,2.35279997847134,13.899677941095648,28.040810417342204,1e-05,1732521267.1883433
8.0,2.2717965281370915,20.68960747365188,29.99379445140464,1e-05,1732521293.5428116
9.0,2.2908779220147566,16.10988629514236,31.859073089695872,1e-05,1732521320.1380694
10.0,2.16286092042923,22.978300711025035,34.59203074646243,1e-05,1732521347.717744
11.0,2.158518682446396,25.11063906116554,35.38468051079123,1e-05,1732521374.673227
12.0,2.062710023405564,24.354525352100275,37.06514509459877,1e-05,1732521401.566454
13.0,2.04556330085101,24.46727029124296,38.70041946667548,1e-05,1732521428.0219383
14.0,1.9890997953052765,28.465927682311964,40.29596987817704,1e-05,1732521454.4223497
15.0,1.9364821034054311,29.914693638234684,41.85621887786809,1e-05,1732521480.9992704
16.0,1.9426315282744,28.64159954328279,43.38482954850841,1e-05,1732521507.3663266
17.0,1.8988143178753387,33.831086865718305,44.88486226816468,1e-05,1732521534.185837
18.0,1.8538707171253224,34.38590479875783,46.35896702744242,1e-05,1732521561.5487854
19.0,1.8277089379050515,36.266882839890926,47.80933514694156,1e-05,1732521588.5665617
20.0,1.7991269425500798,37.23753124105455,49.23789958686031,1e-05,1732521615.4467623
,,,,,
,,,,,
