Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,2.313689716670611,16.855537583347594,14.249441653067896,1e-05,1731621960.8179736
2.0,1.9149673482302387,31.120858479504705,18.364432122048893,1e-05,1731621987.0744
3.0,1.802576707055172,37.69253079693559,21.283874988043067,1e-05,1731622012.2150426
4.0,1.782234637338496,41.20761975732562,23.863214723806063,1e-05,1731622045.2728164
5.0,1.702935003357468,43.81866071221071,26.0612783569528,1e-05,1731622075.6125278
6.0,1.6859983994379075,46.35115850227708,28.098411018250754,1e-05,1731622108.129623
7.0,1.7093753406217882,47.03266219815397,30.05124515985552,1e-05,1731622143.235279
8.0,1.6744082566167489,49.11404327084836,32.36209594109965,1e-05,1731622177.3064008
9.0,1.6675708068855877,50.51803102202093,33.58239642067294,1e-05,1731622208.9365466
10.0,1.6796923224016918,50.56167251948932,35.28638973993216,1e-05,1731622244.2245245
11.0,1.6233112929805311,52.3364642133527,36.85636365691481,1e-05,1731622279.0362835
12.0,1.6462368540439871,52.98253729352387,38.437331987408186,1e-05,1731622308.7726214
13.0,1.6920146603169648,52.55906141992921,39.91195393597786,1e-05,1731622344.3339386
14.0,1.6307429409151926,53.85197816179193,41.40989223626667,1e-05,1731622373.8538988
15.0,1.6326071549375714,54.6456414577719,42.85044635596502,1e-05,1731622403.7987535
16.0,1.5910021377691632,55.92380447873799,44.26021485404568,1e-05,1731622437.7147365
17.0,1.6324040097080998,55.59682715689493,45.63866957626295,1e-05,1731622472.7738588
18.0,1.5972045711291734,56.809319207924645,47.05054594974943,1e-05,1731622507.4366972
19.0,1.6103312729778936,56.59048222998246,48.29508527527889,1e-05,1731622539.7490408
20.0,1.6005361951153043,56.97433924909875,49.6313021881376,1e-05,1731622580.2550278
,,,,,
,,,,,
	Test set:Loss: 1.640213 Acc: 55.913766 ,,,,,
