Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,2.902929451154626,10.086662069742598,14.460810507676712,1e-05,1732262303.1178727
2.0,2.503808630966559,11.22078755595032,18.10811929599698,1e-05,1732262328.8360972
3.0,2.37293609955328,12.854708217318269,20.97139505984596,1e-05,1732262354.4944673
4.0,2.238580149745709,17.97581868698586,23.450956526820903,1e-05,1732262380.0847218
5.0,2.15735243387756,20.0289041928318,25.692091809681987,1e-05,1732262406.5802872
6.0,2.065296254945144,24.35338357589614,27.72593811735897,1e-05,1732262433.585907
7.0,1.9984908316816603,27.735814325126768,29.678607828645085,1e-05,1732262460.0391872
8.0,1.926715554982206,31.140989949629432,31.57017784684708,1e-05,1732262485.9087987
9.0,1.8643628078178287,33.99828086117995,33.34386149815386,1e-05,1732262512.1101048
10.0,1.8135859741680864,35.41744529824869,35.05163013384119,1e-05,1732262538.08638
11.0,1.7634805175019246,37.776031216876056,36.73666952201405,1e-05,1732262563.1297874
12.0,1.7387580775398497,38.96420663904561,38.30703196074757,1e-05,1732262589.4832933
13.0,1.675217975375136,40.96300611275771,39.86846726751445,1e-05,1732262616.6666205
14.0,1.6559402020204634,42.08725689107669,41.36175863969381,1e-05,1732262643.65814
15.0,1.6403569152958564,43.14490531716248,42.913405084680605,1e-05,1732262670.4047716
16.0,1.6045909775754432,44.6844051896032,44.31462381782711,1e-05,1732262698.3885014
17.0,1.5831941049635123,45.86342590101966,45.74892983786511,1e-05,1732262726.9319303
18.0,1.5957348202038737,46.27078249815572,47.18697053550235,1e-05,1732262753.7345903
19.0,1.577186050585338,47.125519996161245,48.54528564096832,1e-05,1732262782.190065
20.0,1.5878338164848675,47.42752281042646,49.93885526739352,1e-05,1732262810.1259186
,,,,,
,,,,,
	Test set:Loss: 1.607622 Acc: 47.782007 ,,,,,
