Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.2744241911789467,18.29152589955608,14.523679436289632,1e-05,1731450030.164724
2,1.844120202393368,34.20066756628552,18.46595503020436,1e-05,1731450062.8104875
3,1.6678246189687331,41.61624417083802,21.263132439009528,1e-05,1731450094.8401508
4,1.662654994449145,44.04787621988494,23.826978598053408,1e-05,1731450125.7016935
5,1.6380051684421186,46.574868615539394,26.05027895508341,1e-05,1731450156.1859188
6,1.6386367834132651,48.0869949416953,28.16956787325214,1e-05,1731450188.9799352
7,1.599522909786128,50.04389780559969,30.07515188542624,1e-05,1731450219.6914382
8,1.5813836770158418,51.2635406146158,31.8878116200045,1e-05,1731450250.7615025
9,1.6107988778520723,51.69350713656847,33.56497605136128,1e-05,1731450284.5803115
10,1.6059055368175406,51.91123565874123,35.24448581015392,1e-05,1731450318.784901
11,1.5839027547918805,53.280090937110266,36.84824907536466,1e-05,1731450353.5339303
12,1.5910971854647544,53.57944632349313,38.38619381077015,1e-05,1731450384.978258
13,1.5954363444223087,54.0429638668389,39.91195393597786,1e-05,1731450419.060701
14,1.5865073107636494,54.05193886421322,41.40989223626667,1e-05,1731450451.0385635
15,1.5535354918972404,55.441113971056886,42.832180487067006,1e-05,1731450486.882586
16,1.5598289692899492,55.386482718664055,44.30312911520607,1e-05,1731450524.8250422
17,1.557275161973479,56.103693235752736,45.663232114967634,1e-05,1731450559.1826882
18,1.5558401872800744,56.91873113871084,46.99885439731777,1e-05,1731450598.54665
19,1.5430876587234663,56.58504501181429,48.32561105779184,1e-05,1731450635.847989
20,1.485443613524978,58.056224005808424,49.64799655593211,1e-05,1731450674.3759546


Test set:Loss: 1.539130 Acc: 56.665348
