Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.2791030686477134,17.514406765323766,14.315809860632594,1e-05,1731448135.5996404
2,1.8545712878750984,33.17288096202467,18.34746474292441,1e-05,1731448164.034861
3,1.7104206884072886,40.10580341495448,21.276963754375377,1e-05,1731448195.0153203
4,1.6622200755195484,43.62002784533632,23.8148677071406,1e-05,1731448225.549549
5,1.6298787702028066,47.19080837130058,26.05578109824592,1e-05,1731448253.1070263
6,1.6123058904301035,49.05527978039932,28.07295536502124,1e-05,1731448280.565953
7,1.6395187982460782,50.0951011268472,30.09914006684172,1e-05,1731448305.7330706
8,1.6176203494504693,51.76670646124941,31.8513441766239,1e-05,1731448332.863911
9,1.5615889182828222,53.49870865113952,33.60416111664727,1e-05,1731448363.340926
10,1.5649105792705316,55.173967168804126,35.25706076501012,1e-05,1731448395.6811068
11,1.5644277696248512,55.34202681529978,36.89690743672856,1e-05,1731448432.1054351
12,1.540364884007948,56.28413447560394,38.413736591676354,1e-05,1731448466.1131527
13,1.5179202847871898,57.36280930887525,39.92726831507088,1e-05,1731448502.2568817
14,1.512955863526798,57.51961645915049,41.42109940448244,1e-05,1731448538.5767376
15,1.527668649731055,57.5608438559053,42.854098343940336,1e-05,1731448575.6613548
16,1.5246253461717705,57.546703315278414,44.29597843296576,1e-05,1731448612.531991
17,1.4900161160593448,58.49881544328125,45.62814111337216,1e-05,1731448648.7285738
18,1.4827503827681023,59.10050311478218,46.99885439731777,1e-05,1731448686.525704
19,1.472178192919555,59.66204577839142,48.3188289878167,1e-05,1731448723.6545827
20,1.479012828084487,59.58691026269695,49.6780393001627,1e-05,1731448759.3712432


Test set:Loss: 1.511113 Acc: 58.702532 
