Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,2.272003309948014,18.19920685105686,14.328994064799335,1e-05,1731626118.3586662
2.0,1.874434935663356,33.728278188692656,18.287889444260674,1e-05,1731626150.3722165
3.0,1.7542124889545672,41.92035894610078,21.29768859991577,1e-05,1731626176.6498444
4.0,1.722373466337881,45.267843141725486,23.881298549038537,1e-05,1731626203.3959703
5.0,1.7338364451618518,47.340962964719104,26.03922340518469,1e-05,1731626230.4175136
6.0,1.7057628500399598,49.08869874550739,28.098411018250754,1e-05,1731626255.9038615
7.0,1.7470400464959783,49.57495508860277,30.02253405211357,1e-05,1731626285.5475752
8.0,1.7260505462282538,50.34085352498444,31.883253599166142,1e-05,1731626310.6402507
9.0,1.703158251359953,51.70419224355236,33.58239642067294,1e-05,1731626337.7784362
10.0,1.65392823206435,52.97069471701656,35.28220119432328,1e-05,1731626362.2562194
11.0,1.627993084450878,54.43471675801792,36.88069632413777,1e-05,1731626392.5183947
12.0,1.6270404938761502,54.47154333396698,38.37438640797445,1e-05,1731626421.5082057
13.0,1.6066340981961145,55.37036264672727,39.96936123112253,1e-05,1731626452.8807237
14.0,1.5639784853792953,56.293285486726255,41.432307819004976,1e-05,1731626485.6935751
15.0,1.554227716508119,56.875055395937935,42.861401428645216,1e-05,1731626522.4556632
16.0,1.5643360981085797,57.57188387058623,44.278098532539,1e-05,1731626559.193172
17.0,1.5390602676738243,58.00088149445486,45.645687366069744,1e-05,1731626592.8335197
18.0,1.5318609440367517,58.556082752862906,46.98851120779774,1e-05,1731626628.1682208
19.0,1.5780255106860253,58.492452689281,48.32222125290775,1e-05,1731626663.0260148
20.0,1.5119131735755962,59.3859789132534,49.671363926993344,1e-05,1731626697.805222
,,,,,
,,,,,
	Test set:Loss: 1.527411 Acc: 58.722310 ,,,,,
