Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.321167256014809,11.147695586392617,14.42054552716057,1e-05,1731435359.4121213
2,2.2765104499454205,14.015852715604668,18.29641836148109,1e-05,1731435386.076632
3,2.2526505133928003,16.77808905116919,21.290783245225505,1e-05,1731435416.5862522
4,2.227893658696789,19.029665273895965,23.77850975486767,1e-05,1731435449.824226
5,2.2018154724269894,19.943540957263668,26.03922340518469,1e-05,1731435482.0808797
6,2.1742679239952403,21.34970593436228,28.10858698671536,1e-05,1731435516.8959556
7,2.147207109038631,22.93045955907328,29.99858924002976,1e-05,1731435552.2793477
8,2.1201445833487536,23.53762087007565,31.833148344792228,1e-05,1731435587.48059
9,2.094917766198439,24.877686341025942,33.56933188511897,1e-05,1731435622.27335
10,2.070869232624027,25.64990659561808,35.2738227484035,1e-05,1731435656.5443077
11,2.0459105804048736,26.775722193710266,36.86041969255827,1e-05,1731435690.5237677
12,2.0211687271740275,28.24492848669654,38.42946799243988,1e-05,1731435725.7555275
13,1.996824935630516,28.791906534697564,39.94257884893777,1e-05,1731435763.0150342
14,1.975395863934567,29.687486237335825,41.40241800254878,1e-05,1731435797.4079018
15,1.9520505598035909,30.88469967021608,42.83948726127484,1e-05,1731435836.7804725
16,1.93552056023263,31.28087711270379,44.26736879507924,1e-05,1731435872.8410647
17,1.9164470457033829,31.88873439150408,45.645687366069744,1e-05,1731435910.215631
18,1.893707332422408,32.74136943328348,47.0333195904686,1e-05,1731435946.4911604
19,1.8780768201662144,33.42245168345169,48.31204649792464,1e-05,1731435986.2384586
20,1.8624677978558084,33.84324852498099,49.617944600295466,1e-05,1731436026.1807745


Test set:Loss: 1.854349 Acc: 34.285997 
