Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,2.6698414310060365,10.472701099478176,5.390359893332136,1e-05,1732445411.8838367
2.0,2.733105702016821,10.074116585822903,7.438174271193458,1e-05,1732445436.950602
3.0,2.412233752820959,11.02777449045466,8.860150553512298,1e-05,1732445462.4697547
4.0,2.4936354148387907,12.821228090818284,10.622820389230192,1e-05,1732445488.5960174
5.0,2.39055826735856,13.478807327212644,11.093674193571196,1e-05,1732445514.1177804
6.0,2.315816956142935,14.953922808698744,12.052066518532817,1e-05,1732445539.6932824
7.0,2.3271997865280114,16.574873288612594,12.944388154714716,1e-05,1732445565.7551367
8.0,2.1999511355161667,20.84758311507162,14.221376549992716,1e-05,1732445591.792892
9.0,2.226050513217071,17.015765497902795,14.586280351783842,1e-05,1732445617.238893
10.0,2.135816884342628,21.65377703418708,15.353095521383633,1e-05,1732445642.4863298
11.0,2.0973775085052453,23.331188514802736,16.09147882273371,1e-05,1732445668.048291
12.0,2.082470616607955,24.405746598339835,16.80545479720635,1e-05,1732445693.1036763
13.0,2.000692609584693,26.972713437180225,17.49817800230792,1e-05,1732445718.5965405
14.0,2.011837659314537,26.316833573412563,18.172175267759137,1e-05,1732445743.7791257
15.0,1.94368297537268,28.35203762576573,18.829508480797426,1e-05,1732445769.0453875
16.0,1.9316249556672247,29.444394097538147,19.763729967728224,1e-05,1732445795.2947366
17.0,1.91868453121906,30.95344213327416,20.10074301662556,1e-05,1732445821.0712812
18.0,1.8819432321663767,32.49192763369283,20.717296432871628,1e-05,1732445846.613208
19.0,1.871146032637789,32.967658892094995,21.59841749262,1e-05,1732445872.8103738
20.0,1.8430643574116512,34.91350920711479,21.917535185668942,1e-05,1732445898.4461625
21.0,1.860249703443503,34.02344522796992,22.50291461748051,1e-05,1732445923.6654663
22.0,1.815913110673428,36.19954732964327,23.386396727851,1e-05,1732445949.9396389
23.0,1.8059118989117464,36.39328612679782,23.647677936320864,1e-05,1732445975.6981676
24.0,1.7837246641289763,38.09000221346114,24.20822084853068,1e-05,1732446001.404519
25.0,1.775517897390241,38.14008401077692,24.76154130631967,1e-05,1732446026.7259376
26.0,1.7311981871043365,39.5206506923146,25.30807761217005,1e-05,1732446051.9418795
27.0,1.7270002038634602,39.43760556522569,25.84822582240695,1e-05,1732446077.2082047
28.0,1.7009011059999466,40.75490588388323,26.66756483691637,1e-05,1732446103.2417982
29.0,1.692907125288597,41.16311008165708,26.910759686747145,1e-05,1732446128.099515
30.0,1.693052273299826,41.80222884640002,27.433769380585304,1e-05,1732446153.6380928
31.0,1.6813423162774197,42.26215744112019,27.951645948427867,1e-05,1732446179.0279226
32.0,1.6539646684380245,43.18684369578592,28.69982434952705,1e-05,1732446205.295595
33.0,1.6574074877968317,43.675702944236924,28.9729823207204,1e-05,1732446231.0409508
34.0,1.648052655160427,44.21451424897493,29.74644930084321,1e-05,1732446257.7008712
35.0,1.6327757354947725,44.765896492144925,29.976547164580584,1e-05,1732446283.480676
36.0,1.623867595346668,44.84110265850256,30.47214995439041,1e-05,1732446309.1163282
37.0,1.614931357597524,46.02389650465613,30.963864279821102,1e-05,1732446335.0647511
38.0,1.6189447058838622,46.12199840464912,31.45184862267344,1e-05,1732446360.6382506
39.0,1.6334221802576625,46.43547343823133,31.93625118282021,1e-05,1732446386.4330294
40.0,1.6160499953260326,46.60967555581396,32.41721041774816,1e-05,1732446411.3366702
41.0,1.5748701164644372,47.943820809712406,32.894856149970664,1e-05,1732446437.4171762
42.0,1.592155861490555,47.95568987586692,33.36931009883665,1e-05,1732446463.15459
43.0,1.59659907229301,48.10044923140854,33.84068690844265,1e-05,1732446488.9599867
44.0,1.6003412763078009,48.77767082017872,34.30909433430655,1e-05,1732446514.8589325
45.0,1.567250048816204,49.13087924575205,35.024155273980064,1e-05,1732446541.7618072
46.0,1.5720026463195496,49.462496543882686,35.23740197013556,1e-05,1732446567.40562
47.0,1.5932027315791648,49.396462423490455,35.6974888549291,1e-05,1732446593.0992372
48.0,1.5761692679707129,50.1294649427104,36.15498059441144,1e-05,1732446619.206133
49.0,1.574147213288028,50.40621334336303,36.609958603874674,1e-05,1732446645.285585
50.0,1.5672097089886663,50.908947371560906,37.30519268292906,1e-05,1732446672.870435
51.0,1.569635632068296,50.8949525035764,37.51267791361035,1e-05,1732446699.159695
52.0,1.557709316713641,51.244782141202194,37.96056219481784,1e-05,1732446725.026021
53.0,1.5451268866092345,52.11514180234157,38.40621917403853,1e-05,1732446750.41496
54.0,1.5201663301333372,52.42466240171824,38.84971223882442,1e-05,1732446776.6778195
55.0,1.5335295847570054,52.34116131645262,39.29110152023786,1e-05,1732446802.525622
56.0,1.5269028212958735,52.91659533886647,39.93254343693941,1e-05,1732446829.4642208
57.0,1.5157199200214606,52.948088781880855,40.16779633555893,1e-05,1732446855.7564616
58.0,1.5234013516596645,53.1125638395082,40.60320934758563,1e-05,1732446881.2086792
59.0,1.5011853927915746,53.68806951835485,41.0367337966081,1e-05,1732446907.0584266
