Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,3.3589726253260945,9.306077428735993,3.102855531829725,1e-05,1732473590.3320117
2.0,3.116728929051182,10.36393503156929,4.234139234744848,1e-05,1732473615.7338383
3.0,2.8100167264914453,10.174995354956993,5.036194093354252,1e-05,1732473641.3319104
4.0,2.861519210514525,10.185823866007864,5.706948177493539,1e-05,1732473666.4689777
5.0,2.509665874750248,12.70778068768614,6.301370058876341,1e-05,1732473691.44989
6.0,2.621140625476837,11.300198190195983,7.120067626326835,1e-05,1732473717.09307
7.0,2.401593036651611,13.52294567009769,7.608136056827707,1e-05,1732473742.7356749
8.0,2.426293604920433,12.318325901551248,7.824249602680234,1e-05,1732473767.5558794
9.0,2.3322964957739303,15.718220947704612,8.275761065973533,1e-05,1732473792.5139918
10.0,2.304077126979828,18.351842454169034,8.932985765101892,1e-05,1732473818.1977978
11.0,2.274783830046654,16.585341562269434,9.340089706708945,1e-05,1732473843.7084088
12.0,2.168674531007054,20.397357261231377,9.52337584064135,1e-05,1732473868.8089533
13.0,2.196126558073801,20.597262938253447,9.911536698453723,1e-05,1732473893.7459054
14.0,2.096004973378098,24.01885647196921,10.288604277510082,1e-05,1732473918.8586118
15.0,2.133752236438338,20.371282630449528,10.655777698846675,1e-05,1732473944.119197
16.0,2.038895296752453,25.0626645791,11.203584882461508,1e-05,1732473969.6746385
17.0,2.0361700686977136,25.964486909894795,11.364270005462254,1e-05,1732473994.9488575
18.0,1.9725073845542256,27.22562503288123,11.707141789874496,1e-05,1732474020.0166657
19.0,1.9892825026008951,25.914339785764888,12.043282648474095,1e-05,1732474044.9100375
20.0,1.944221519402953,28.87445275190169,12.37322511002189,1e-05,1732474070.1269114
21.0,1.9232716713890885,30.72419213126843,12.697434666545364,1e-05,1732474095.05187
22.0,1.907688166328411,30.53769872392368,13.016321021264208,1e-05,1732474120.139535
23.0,1.893401636885156,31.49108410650849,13.330247100700497,1e-05,1732474145.171829
24.0,1.860643586327758,33.74346681475963,13.639536188099026,1e-05,1732474170.379355
25.0,1.8237259309701248,35.44373509536361,13.944477747725186,1e-05,1732474195.0065987
26.0,1.8178990935198305,36.21870387100797,14.245332219473138,1e-05,1732474220.2670462
27.0,1.805838306744893,36.6770765695186,14.54233490284049,1e-05,1732474245.2379868
28.0,1.757363527863469,38.12498749599079,14.835699264050753,1e-05,1732474270.4908922
29.0,1.7175022066390184,39.375603771297705,15.1256197028677,1e-05,1732474295.3618493
30.0,1.7259187120199204,39.53906113184944,15.565330691155353,1e-05,1732474321.2844002
31.0,1.7065153061893183,39.75928518604468,15.695824356854112,1e-05,1732474346.6712868
