Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.304022869328872,10.64325920098016,14.485185166641909,1e-05,1732433145.634807
2,2.297908207536981,11.693361940156374,18.304941219890267,1e-05,1732433274.2316785
3,2.293150121751039,13.542622236973772,21.352826409505468,1e-05,1732433400.6988664
4,2.286558323481988,16.888580136698298,23.79060379583265,1e-05,1732433530.0299597
5,2.277654011069997,17.168592604984205,26.0612783569528,1e-05,1732433658.4899092
6,2.26430183503686,19.89640850446879,28.11367374871816,1e-05,1732433788.629477
7,2.244895324494377,22.258605638567104,30.02253405211357,1e-05,1732433918.0507889
8,2.221645543818235,21.95658300029907,31.8513441766239,1e-05,1732434047.3527792
9,2.194372123532591,22.995277235679,33.61286369992997,1e-05,1732434176.833752
10,2.165385098645454,24.27695846449445,35.223518480939234,1e-05,1732434307.6099052
11,2.140156788661562,24.111323375518047,36.844191209502405,1e-05,1732434438.372719
12,2.1083314903016346,25.06305411393117,38.39012913147933,1e-05,1732434568.9552653
13,2.085844561871556,24.508194154390544,39.92344048052042,1e-05,1732434702.0593822
14,2.0688151985036334,25.31582648442439,41.43604205757675,1e-05,1732434832.4651177
15,2.0580725889290328,25.548988226540764,42.84679255045528,1e-05,1732434964.1330626
16,2.037013517179879,26.25319536606534,44.28167459526802,1e-05,1732435096.604597
17,2.031393115353166,26.468365964835503,45.63164970090325,1e-05,1732435229.2786283
18,2.01011047827459,25.95679825681473,47.026428602119545,1e-05,1732435360.5584886
19,1.9976853671281236,27.25193957183649,48.3188289878167,1e-05,1732435494.801052
20,1.9921657636891241,27.371997016420963,49.631302188137596,1e-05,1732435629.5799372
