Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.3113370226717542,10.087957439350578,10.84161127233457,1e-05,1732089806.2340653
2,2.3001587435051247,10.121889556996551,13.35847881701242,1e-05,1732089917.666601
3,2.298343970267861,10.58024926276938,15.302437090196136,1e-05,1732090029.42018
4,2.2967979581168527,12.63623095099401,16.938495986162334,1e-05,1732090142.081657
5,2.294757020694238,13.290054259119987,18.46884198381124,1e-05,1732090254.266766
6,2.292671174697527,13.46622361833143,19.83545392028841,1e-05,1732090366.7562702
7,2.2906027021964035,13.671649935853903,21.10273362592498,1e-05,1732090480.4140546
8,2.2889492156308724,13.345203527059418,22.36436638930809,1e-05,1732090593.1706634
9,2.2862992372598736,14.432124558130962,23.508443508984115,1e-05,1732090706.7467406
10,2.2843442002189494,15.888494979997242,24.675074822813208,1e-05,1732090818.6103184
11,2.2811345326039065,18.765525710129825,25.74501294933644,1e-05,1732090930.6890116
12,2.27850216140836,18.70134313291638,26.792256637887537,1e-05,1732091042.7336466
13,2.2755544725246297,17.423281772453443,27.799630597885752,1e-05,1732091155.3959298
14,2.271961580019816,18.304427744083025,28.791203866467708,1e-05,1732091268.265741
15,2.268231695398278,18.98868144643321,29.749711924932992,1e-05,1732091381.445235
16,2.264808704017763,19.859277109268422,30.70667394376676,1e-05,1732091494.7083228
17,2.2601115719838574,21.612454079157214,31.616041259170213,1e-05,1732091608.306845
18,2.254360133354817,21.333362635860823,32.54556982502829,1e-05,1732091723.120813
19,2.2494458361105485,21.70772664707273,33.43136681700033,1e-05,1732091837.308261
20,2.243043460258066,22.50349049797081,34.31168383600335,1e-05,1732091951.7968266
21,2.2382514200188446,23.996814425597417,35.1960878095497,1e-05,1732092065.939695
22,2.2309766738286942,24.663959224856384,36.050077315707405,1e-05,1732092179.8156345
23,2.223716812681152,23.983206337286862,36.8496718938768,1e-05,1732092296.592243
24,2.21692508732507,23.96499937276092,37.70682335183154,1e-05,1732092410.6746578
25,2.2090601481174827,24.44713535736569,38.52818893682386,1e-05,1732092526.3014042
26,2.2008076862052635,24.663868315832648,39.34809574171695,1e-05,1732092639.5837765
27,2.19232224924811,25.35054670882444,40.15058458907797,1e-05,1732092754.0341256
28,2.1831018940968945,25.835918881580856,40.93644951198296,1e-05,1732092869.749985
29,2.174647387531069,26.54396962513492,41.73033289067828,1e-05,1732092984.6079216
30,2.165725513621493,26.436774899353185,42.49266342435872,1e-05,1732093101.1352954
31,2.154384552753596,26.68900124154022,43.2714777492866,1e-05,1732093216.490095
32,2.143567878519576,27.37684138740981,44.05096111267431,1e-05,1732093332.002994
33,2.13423123152833,27.22612751811261,44.792799532659664,1e-05,1732093447.8187518
34,2.125861171196247,27.084413571070108,45.5514581528717,1e-05,1732093563.2947726
35,2.1155127652272814,27.004694097811964,46.28123706590998,1e-05,1732093680.3326576
36,2.1060894314012573,27.33855495794233,47.02798957366796,1e-05,1732093796.2692714
37,2.1002338501416387,27.28279214892798,47.76161547636723,1e-05,1732093912.7572255
38,2.083964625811247,27.58489714695606,48.49738346654614,1e-05,1732094028.3456454
39,2.08055722090331,27.396491561009807,49.21320913041367,1e-05,1732094145.0303092
40,2.0696748768057778,27.87300701615584,49.94611295979028,1e-05,1732094260.964483
