Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.330509379506111,9.812981555841205,14.17771901032478,1e-05,1731961383.6737237
2,2.31444236776669,9.93235719228144,17.67112890004282,1e-05,1731961429.6107442
3,2.306574063514596,10.24118283232275,20.557271537655826,1e-05,1731961475.2879052
4,2.3038646882772444,10.208698770973887,23.15519248290989,1e-05,1731961520.9054656
5,2.3012467227359807,10.934454232498238,25.325973197623423,1e-05,1731961567.2892816
6,2.299898070258063,11.97770533537744,27.42521723528635,1e-05,1731961613.710024
7,2.2990328435281024,12.684954596291528,29.40014506445863,1e-05,1731961659.7383225
8,2.298005237316428,13.345019001200368,30.38719513257254,1e-05,1731961704.9537165
9,2.297487223502433,13.344929083563423,33.075725734511785,1e-05,1731961749.6994894
10,2.296369366126485,13.816799848912472,34.808109507421314,1e-05,1731961791.2187805
11,2.2960665363073347,13.631862831638792,36.55052427864417,1e-05,1731961837.286863
12,2.294902872860878,14.01456322332242,38.112610077184485,1e-05,1731961883.491968
13,2.2942965724574984,14.585321168197618,39.69846012495919,1e-05,1731961929.6840937
14,2.294065616130829,14.575434342105204,41.30826995969951,1e-05,1731961976.2956474
15,2.2929477129621483,14.945250551058445,42.76226802830259,1e-05,1731962023.1038148
16,2.292240729155364,15.072257676513992,44.24752573468282,1e-05,1731962069.7167618
17,2.291582053115883,14.990179771204662,45.70566798501333,1e-05,1731962117.041824
18,2.290990251806838,15.059661756938764,47.139044176275895,1e-05,1731962163.3056345
19,2.290344252550691,15.586557631683473,48.54976120217892,1e-05,1731962210.467696
20,2.288817275222854,16.265693345882898,49.939624742743064,1e-05,1731962257.4308443
