Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.323745956468345,10.133685190504176,14.003321802618602,1e-05,1731414446.937227
2,2.3122148957906985,10.163650720086258,17.67112890004282,1e-05,1731414470.9079168
3,2.3056758307937355,9.89203300809642,20.557271537655826,1e-05,1731414494.7538164
4,2.303292404359846,9.955631368467404,23.06059610310739,1e-05,1731414518.8719263
5,2.300749756210479,10.207817275953383,25.325973197623423,1e-05,1731414542.9663455
6,2.299371433376969,10.028049251284273,27.42521723528635,1e-05,1731414567.0181646
7,2.2984860543895542,9.954670871036136,29.40014506445863,1e-05,1731414591.234588
8,2.2975668165814223,10.411614328225998,31.277528261484303,1e-05,1731414615.5028975
9,2.2972757214424657,10.24988629427499,33.075725734511785,1e-05,1731414640.2382748
10,2.297001258730889,10.266073400470866,34.87618060910322,1e-05,1731414664.6772437
11,2.2964170923327454,10.49899609046462,36.48447226780829,1e-05,1731414689.238126
12,2.2960446877266043,10.708402833755729,38.112610077184485,1e-05,1731414713.9156582
13,2.2956896601175134,10.692102791733785,39.69846012495919,1e-05,1731414738.283819
14,2.2949570752129764,11.207976677709878,41.247006740232514,1e-05,1731414763.3165388
15,2.294421824433857,11.47018801078628,42.76226802830259,1e-05,1731414788.359571
16,2.2939665073765783,12.093286464902835,44.24752573468282,1e-05,1731414812.86903
17,2.293675750198931,11.729330259877235,45.70566798501333,1e-05,1731414838.3201938
18,2.2933098394285065,11.690909509821672,47.139044176275895,1e-05,1731414862.8668523
19,2.2928271121217723,12.013309428683138,48.54976120217892,1e-05,1731414888.4500165
20,2.2923455002867144,12.170708433460483,49.939624742743064,1e-05,1731414913.7732959


Test set:Loss: 2.292470 Acc: 11.759195
