Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.303442675206396,10.15415413994469,9.239946865645784,1e-05,1732169898.8844469
2,2.298767199432641,10.607911316365676,11.476837918860555,1e-05,1732170137.3136418
3,2.294606162998729,11.600753354061816,13.043690374005,1e-05,1732170370.234154
4,2.289173940381956,12.43324151828762,14.376856169510694,1e-05,1732170611.031317
5,2.2815060291556115,14.297598476783351,15.604357581961098,1e-05,1732170843.1311238
6,2.2700070407655506,15.68807074788049,16.714854005905266,1e-05,1732171083.3297296
7,2.252915076551766,18.63425543166488,17.744175001185937,1e-05,1732171317.272987
8,2.231403954713815,20.73978310561317,18.703582115165084,1e-05,1732171556.466343
9,2.2043942024610392,22.81254699401445,19.63378915296545,1e-05,1732171794.8833225
10,2.17794623933931,22.878785705755657,20.512257105393264,1e-05,1732172026.823013
11,2.15011052179835,23.356589185946227,21.32746792433517,1e-05,1732172266.3910122
12,2.1273899067856856,23.734262608055104,22.154751111273946,1e-05,1732172498.459649
13,2.106691138570728,23.815272695948664,22.946222896671262,1e-05,1732172738.0402732
14,2.0890870262521486,24.16266256509983,23.6924079905326,1e-05,1732172971.567587
15,2.072907180686272,24.38379692826576,24.44455451297669,1e-05,1732173212.245265
16,2.0638317025226094,25.680814200438057,25.175172845744083,1e-05,1732173446.044765
17,2.0436912900743667,26.2812943451162,25.886239011329547,1e-05,1732173685.6087923
18,2.0331888558535742,26.514005873089296,26.57586178439456,1e-05,1732173928.080403
19,2.016266306241353,27.21645037182327,27.25086698374309,1e-05,1732174165.9134908
20,2.0035902383840747,27.473327597730112,27.950025710066697,1e-05,1732174408.1305914
21,1.989495589022051,28.199524370753387,28.6185800614383,1e-05,1732174643.9752862
22,1.978841113170404,28.324383620588268,29.26327481468253,1e-05,1732174886.6995444
23,1.9639236696645723,28.972005202365946,29.91000721915031,1e-05,1732175121.7692454
24,1.945278522811605,29.50609789079197,30.53950991743347,1e-05,1732175362.5466397
25,1.918189349677736,29.829953276063275,31.15897738461356,1e-05,1732175595.9632754
26,1.9151773828460976,30.01659259661493,31.76917966436012,1e-05,1732175839.932292
27,1.8979652527115107,30.61070100318456,32.38598319265992,1e-05,1732176084.258137
28,1.887444197810531,30.964543839123028,32.99551352453251,1e-05,1732176317.8709772
29,1.8675944065371304,31.10638710885799,33.57551263848017,1e-05,1732176559.9595091
30,1.860354084926739,31.32947683601068,34.17196673918744,1e-05,1732176796.735101
31,1.844476600453232,31.73513074193237,34.75491792757605,1e-05,1732177044.9863496
32,1.8372132782264263,31.88225941263233,35.31294133959549,1e-05,1732177283.631214
33,1.8383869050878336,31.87581287384105,35.90826814458865,1e-05,1732177531.01641
34,1.817088479214701,32.987494001232086,36.4675668432763,1e-05,1732177770.783839
35,1.81324771457705,33.31005893080816,37.03494794824148,1e-05,1732178019.2426107
36,1.8033750278132776,33.485904724589425,37.57762895929488,1e-05,1732178257.9215393
37,1.7971319968240302,34.02444393057166,38.1385031206898,1e-05,1732178505.8111887
38,1.7827254873766023,34.82452963297213,38.68794692099648,1e-05,1732178744.61672
39,1.7914402415267134,34.228694454119776,39.22901429403991,1e-05,1732178987.6601024
40,1.7835922610336148,34.21805188670734,39.755030286138975,1e-05,1732179236.4675193
41,1.7777336632951777,34.80261517575877,40.31026626352632,1e-05,1732179475.097474
42,1.7721682397855654,35.14581135985397,40.83025928181062,1e-05,1732179722.5317633
43,1.7710079037051951,35.42530092810915,41.36165086484295,1e-05,1732179968.9249263
44,1.7716781682121876,35.355634537959354,41.88280659245967,1e-05,1732180215.4369936
45,1.7627232863191973,36.08185251213508,42.41005240425316,1e-05,1732180457.9998188
46,1.7655785502336931,35.77131069237402,42.92870394795933,1e-05,1732180705.239828
47,1.7500802774543631,36.41317607170208,43.4402455085687,1e-05,1732180950.909834
48,1.754803091754084,36.40572499180767,43.96058168362392,1e-05,1732181205.7052789
49,1.7540922193992428,36.30093951026334,44.464870183880656,1e-05,1732181447.6131918
50,1.7406650116849889,36.70782958847105,44.97159356510979,1e-05,1732181697.4195962
51,1.7414646459209335,36.81431862072278,45.483299321000565,1e-05,1732181943.5172606
52,1.7366582779262376,37.42002688705364,45.981985459305626,1e-05,1732182192.5346644
53,1.7341724156912883,37.55835306497451,46.48828157404651,1e-05,1732182430.6576903
54,1.7313618239843185,37.62591094078774,46.97294983120743,1e-05,1732182680.5013392
55,1.7289573822287316,38.03532918104462,47.47169142977285,1e-05,1732182923.562968
56,1.7244971174607302,38.172632730651706,47.97427761737929,1e-05,1732183171.72061
57,1.7311256093845966,38.01085306733735,48.451935575447365,1e-05,1732183419.6531525
58,1.72607273511936,38.3842040909481,48.93242770998757,1e-05,1732183661.7795124
59,1.71856860476538,38.40000272352943,49.41698664002891,1e-05,1732183914.9936442
60,1.7186265466900483,38.73257778830372,49.90928077194083,1e-05,1732184156.2640922
