Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.320067468299169,10.042914782222947,8.994584132530125,1e-05,1732080256.810303
2,2.3045392832985185,10.117695299885794,11.00269940479623,1e-05,1732080368.4521716
3,2.301500627522095,10.062419735593329,12.558095904886535,1e-05,1732080480.2130206
4,2.299577342632205,10.42195052921958,13.887759444415863,1e-05,1732080591.2644265
5,2.2968816430828687,11.514946768586002,15.055894995855926,1e-05,1732080702.9131906
6,2.2949753994364377,13.15072279232123,16.120606296400833,1e-05,1732080816.245716
7,2.2921348208779686,14.727456112931678,17.13732554297923,1e-05,1732080929.7522247
8,2.2896077173565508,15.639333499585916,18.117559822936176,1e-05,1732081041.828655
9,2.2865028757798043,16.521110798732497,19.02372727981472,1e-05,1732081154.5147233
10,2.2833984393939795,17.983568150152053,19.919595732521472,1e-05,1732081266.249544
11,2.2791793180315683,19.08239700978908,20.74015106909046,1e-05,1732081380.053131
12,2.275514062761984,19.675858464201337,21.58437680685561,1e-05,1732081492.456152
13,2.271465121192493,19.930948758422755,22.37131423818297,1e-05,1732081605.0787587
14,2.2658327422358773,21.265975380281173,23.137525276799,1e-05,1732081718.2172742
15,2.260313839747988,22.10820937458037,23.8929444225684,1e-05,1732081830.7679925
16,2.253594329468657,22.41166034877875,24.61648356355112,1e-05,1732081945.344851
17,2.2474472935280105,22.49224067026079,25.34718299256136,1e-05,1732082059.899886
18,2.240240777319226,23.06623489668953,26.05641680289199,1e-05,1732082174.410249
19,2.23288664485133,22.60214419494132,26.773943139573262,1e-05,1732082287.0609932
20,2.2235993717262805,23.179731957775715,27.44430214260857,1e-05,1732082400.673922
21,2.214738999484876,23.805048720321377,28.12470180001282,1e-05,1732082514.2005017
22,2.20768392003436,23.461667350579464,28.78801167589141,1e-05,1732082627.6754174
23,2.198398059165036,23.902936896813983,29.44852760434211,1e-05,1732082741.2865295
24,2.189806317393874,24.18932269877404,30.09348722976805,1e-05,1732082854.5390592
25,2.179982489590192,24.360876145797725,30.71085050383676,1e-05,1732082969.4061074
26,2.1683922947703542,24.34112102632136,31.35917687397316,1e-05,1732083082.2249403
27,2.160798835212534,24.322987955732103,31.96818978356552,1e-05,1732083196.5842528
28,2.149740922862086,24.885220935335788,32.5830429570853,1e-05,1732083311.174302
29,2.140483471480283,25.175720395003083,33.19135314923678,1e-05,1732083426.236969
30,2.1302634105769864,25.49888067926709,33.79346466192229,1e-05,1732083541.1478848
31,2.122535729517131,25.008440415273885,34.38967806583732,1e-05,1732083656.2431288
32,2.1129385091074546,25.42123846962013,34.98028815355945,1e-05,1732083769.9709914
33,2.107837458632209,25.27405169345872,35.56555238785264,1e-05,1732083885.0076475
34,2.10141823094012,25.577344133792835,36.15749695274921,1e-05,1732083999.4389777
35,2.0932404833040974,25.47596055456372,36.73267608738055,1e-05,1732084113.1175735
36,2.0860996646423864,25.17460140006792,37.291576479090224,1e-05,1732084228.398852
37,2.0764700434521206,25.4331928352418,37.84618537020943,1e-05,1732084345.397255
38,2.0718739969000968,25.685719144370555,38.41954079724592,1e-05,1732084460.613879
39,2.067849707170949,25.29505184321589,38.97157129444812,1e-05,1732084575.744025
40,2.0627028450133307,25.72481766275809,39.5253462387556,1e-05,1732084691.9006238
41,2.05491232191591,25.523897365275,40.08091424432985,1e-05,1732084807.888204
42,2.0512019620029203,25.87090399625919,40.62713526164477,1e-05,1732084923.5301712
43,2.047315543124435,26.51433581195875,41.17538045234225,1e-05,1732085039.5196984
44,2.0429726167308817,26.28596167724686,41.714601130323445,1e-05,1732085156.70528
45,2.038171516315124,25.69307222089044,42.23965690825988,1e-05,1732085272.6028688
46,2.0347817971695603,26.11895322851575,42.77244925354937,1e-05,1732085388.9781
47,2.025918747539873,26.430274306634992,43.318346624403496,1e-05,1732085505.09472
48,2.023812942189888,26.03398273192468,43.834255580113584,1e-05,1732085620.551505
49,2.0188227642541645,25.85394906283319,44.36336430671352,1e-05,1732085735.948649
50,2.009006793253889,26.732108912047654,44.88963520243245,1e-05,1732085851.749744
51,2.0066635052181216,26.55738720787448,45.402553982577295,1e-05,1732085969.234288
52,2.002933357037654,26.87312285787264,45.907622549573205,1e-05,1732086085.1867387
53,1.990977825002468,27.05247162300824,46.44159201073085,1e-05,1732086199.9294405
54,1.9921739749694136,26.95464241451416,46.931270294821566,1e-05,1732086318.6171696
55,1.9891357375816865,27.27001031661665,47.44457201301522,1e-05,1732086436.522179
56,1.982694980132217,27.231333435799737,47.96060171626472,1e-05,1732086552.4225316
57,1.9733623472596085,27.76425550625243,48.45376232124308,1e-05,1732086669.4156551
58,1.9748332742686685,27.39045640879786,48.95498237830228,1e-05,1732086786.7795136
59,1.9684375008217605,27.966652228444637,49.45401491065124,1e-05,1732086904.874364
60,1.9524526786473062,28.04724754709214,49.95597740876958,1e-05,1732087020.123054
