Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.300055301725658,12.261180714761974,14.28935725734483,1e-05,1732002724.494441
2,2.2882199637152003,17.408416661794227,18.372906862843006,1e-05,1732002773.9787638
3,2.27775244197551,19.19589185709413,21.263132439009528,1e-05,1732002823.7462838
4,2.264894884366256,20.84444792005879,23.8390693317086,1e-05,1732002874.5166106
5,2.247797351310877,23.36846188013948,26.072260772307487,1e-05,1732002924.5811973
6,2.2289987381397105,25.510547586791542,28.12892823390232,1e-05,1732002974.776552
7,2.205097924840861,26.33997008496841,30.032107109116847,1e-05,1732003026.0046165
8,2.181108652303616,26.710660412239424,31.85589166599959,1e-05,1732003077.5781417
9,2.152106977644421,26.78266977569801,33.62591431085015,1e-05,1732003129.429959
10,2.120957846254916,28.100388630519568,35.28220119432328,1e-05,1732003174.2089171
11,2.0931084447807367,28.62112055178597,36.88069632413777,1e-05,1732003226.0628114
12,2.0602779445597377,28.84076442455921,38.449125830995264,1e-05,1732003277.6684566
13,2.0401935594301697,29.54002033495844,39.954058238818845,1e-05,1732003331.0275292
14,2.017717664123427,30.04117800165368,41.42109940448244,1e-05,1732003383.1070416
15,1.9919277822869457,31.20807689663655,42.84679255045528,1e-05,1732003438.1284482
16,1.9736487560639653,31.371125782574705,44.25306034877726,1e-05,1732003492.4100363
17,1.955808626257855,31.386731878906502,45.62462945682305,1e-05,1732003547.57891
18,1.937783187796884,30.489734365344063,47.03676521376652,1e-05,1732003603.5591843
19,1.930213104423724,30.81497721750245,48.34256540374829,1e-05,1732003660.456796
20,1.9134633536967967,31.527507617486744,49.62128434311495,1e-05,1732003719.3347735
