Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.337499678736985,11.31235770994219,9.820816844790814,1e-05,1731411232.954318
2,2.332185759762217,11.412473543916146,14.626958525465522,1e-05,1731411266.6308577
3,2.327462415305936,11.36128486769192,17.925667520017445,1e-05,1731411294.3915951
4,2.323437768994397,11.30701551539518,20.68081460649561,1e-05,1731411317.831269
5,2.3188521874101857,11.264707237940192,23.131909325980136,1e-05,1731411341.260259
6,2.3151838845676846,11.45875078233592,25.382231677348155,1e-05,1731411364.8033855
7,2.3132998779111977,11.481428391683815,27.487320558281425,1e-05,1731411388.187974
8,2.310619956883953,11.415552280211203,29.48111828090234,1e-05,1731411411.817944
9,2.308953398344468,11.187791577073275,31.38613097940111,1e-05,1731411435.2125723
10,2.307940807607439,11.222638116810524,33.218185869014334,1e-05,1731411458.9119549
11,2.3067655404815284,11.37635159735468,34.98890365356859,1e-05,1731411482.2686572
12,2.305913323733076,11.463609962542373,36.70712553746768,1e-05,1731411506.2278955
13,2.3046966336877146,11.40848692267047,38.37975659144254,1e-05,1731411529.671698
14,2.304198058203584,11.44954790161408,40.01230841800449,1e-05,1731411553.0997498
15,2.303517342218893,11.424164361275906,41.60926176359396,1e-05,1731411576.8540728
16,2.3025721997925728,11.715077376691548,43.17433069242994,1e-05,1731411600.622157
17,2.302602865726133,11.612439252055518,44.71061654910228,1e-05,1731411624.229885
18,2.301612865501249,11.779629733386754,46.22075404936416,1e-05,1731411648.0194435
19,2.301678967719176,11.900566947227896,47.70699896795981,1e-05,1731411671.6613834
20,2.301065267348776,12.003961528485597,49.171296243566026,1e-05,1731411695.068745


Test set:Loss: 2.300739 Acc: 12.256237
