Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.135313407430109,20.39595763717626,14.222560129699296,1e-05,1731482846.157558
2,1.858999998856944,32.736641634459765,18.38137568188331,1e-05,1731482872.737756
3,1.779323972915781,37.83255096738704,21.29768859991577,1e-05,1731482899.6598089
4,1.7345056562737742,40.66376205565748,23.820925949117232,1e-05,1731482935.041234
5,1.6264039763926637,45.67405538586662,26.02824981535627,1e-05,1731482972.4889472
6,1.6255800033110648,47.7940514953194,28.088231510843443,1e-05,1731483009.4599874
7,1.648198945210971,48.1824873557626,30.02732098020535,1e-05,1731483048.488705
8,1.620371859799261,49.378964132590816,31.84679612089924,1e-05,1731483087.4300644
9,1.5917592723064358,50.55728915784082,33.58239642067294,1e-05,1731483125.1346085
10,1.6202746206815817,51.110856584217416,35.265442635487275,1e-05,1731483164.2181675
11,1.5623092040167017,52.65154255257251,36.82795164194749,1e-05,1731483204.8332229
12,1.6841777365086443,50.987066566186456,38.39012913147933,1e-05,1731483244.5661464
13,1.5803221193596773,52.62362281975502,39.90429480244027,1e-05,1731483284.4160252
14,1.5753618691574969,53.69793447303503,41.4136287513795,1e-05,1731483323.5679674
15,1.5844645930719292,53.70061114929919,42.85774997703231,1e-05,1731483363.0236282
16,1.5599989126352938,54.05731796634915,44.26736879507924,1e-05,1731483402.800799
17,1.5778341178383146,54.16089117911916,45.67024687650799,1e-05,1731483443.3677862
18,1.6005722260598905,54.56583310450257,46.99195852236261,1e-05,1731483485.6909337
19,1.5699514225125313,55.23321196772994,48.7314878443882,1e-05,1731483539.548958
20,1.562166622823866,55.310679483820245,49.60791987544441,1e-05,1731483580.1104932


Test set:Loss: 1.583699 Acc: 55.409415
