Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.311936960560357,10.395276662335029,14.141832843302684,1e-05,1731521466.6439126
2,2.295059734057886,13.064747415098545,18.31345800153585,1e-05,1731521492.4882314
3,2.2881919009518987,17.927788864105302,21.29768859991577,1e-05,1731521527.2768085
4,2.281449176835929,18.49600276668861,23.845109890488168,1e-05,1731521568.860631
5,2.273304751001555,20.618171530463904,25.98980424674334,1e-05,1731521610.9727538
6,2.263817994544904,22.32688587632645,28.12892823390232,1e-05,1731521649.4863763
7,2.253207681445838,22.902139933424337,30.05124515985552,1e-05,1731521687.2379923
8,2.23914486967342,24.771534562486394,31.87413077793408,1e-05,1731521724.981897
9,2.22383835616779,24.60116070195001,33.57368736430317,1e-05,1731521763.525295
10,2.2055540160929903,24.862371187820564,35.265442635487275,1e-05,1731521802.2327654
11,2.182892760623892,26.727972936078665,36.89690743672856,1e-05,1731521841.6328633
12,2.1630043484443844,26.44372539547338,38.46484727111142,1e-05,1731521879.9480286
13,2.1390641986278065,27.18622844379978,39.92344048052042,1e-05,1731521920.615362
14,2.113364702052084,26.98698377575533,41.39868050300191,1e-05,1731521959.696644
15,2.0925970850707767,27.0129998772987,42.84314073905104,1e-05,1731522000.819584
16,2.0658663462202096,27.8306944391096,44.2280121509503,1e-05,1731522040.5902262
17,2.042967862484791,28.709724701100004,45.62111931099688,1e-05,1731522081.4412334
18,2.0230608581463634,29.28845195081279,46.98506444618533,1e-05,1731522124.6323106
19,2.001007837700927,29.25579563821495,48.32222125290775,1e-05,1731522164.295009
20,1.9791676558415499,29.900885921165997,49.631302188137596,1e-05,1731522215.506175


Test set:Loss: 1.970453 Acc: 31.279668
