Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.115259432998197,21.21630683966669,14.302597893309777,1e-05,1731465215.9473782
2,1.8338935783408976,35.2804479874041,18.287889444260674,1e-05,1731465241.70832
3,1.7817700272553587,39.51637688979334,21.290783245225505,1e-05,1731465268.9787507
4,1.7736979859395765,41.07219132966725,23.826978598053408,1e-05,1731465296.3794773
5,1.7775519036504224,42.45584740281322,26.03373715723249,1e-05,1731465323.2282786
6,1.7776445939083292,43.563078116742176,28.07295536502124,1e-05,1731465351.7795036
7,1.7515036598532443,44.962521654571816,30.05602768499971,1e-05,1731465378.869124
8,1.7267634513932215,46.39381605387904,31.87413077793408,1e-05,1731465406.1871588
9,1.6944648208734872,47.0330137361253,33.61721442748918,1e-05,1731465433.0566618
10,1.691514658199304,48.54015532282113,35.223518480939234,1e-05,1731465461.6163
11,1.6762501685745266,49.20827429296943,36.844191209502405,1e-05,1731465489.5153673
12,1.700402972387231,50.00759542105884,38.42553537706566,1e-05,1731465518.0137682
13,1.6788892561943618,50.36601420112301,39.92344048052042,1e-05,1731465548.493482
14,1.6732920716051816,50.915986304842,41.39494372431641,1e-05,1731465578.5365462
15,1.6969299477922333,50.95627758609098,42.84314073905104,1e-05,1731465609.3845196
16,1.6634664722762182,51.60431554263209,44.238749144070844,1e-05,1731465639.447984
17,1.6735658643585127,52.30479921014447,45.61761012490954,1e-05,1731465669.9217668
18,1.681335557265332,52.15809651765412,47.01953514937953,1e-05,1731465704.7919326
19,1.6690513637559168,52.323404740848176,48.32222125290775,1e-05,1731465738.4766722
20,1.6586510082015722,53.30882121517462,49.658014170677816,1e-05,1731465770.5779748


Test set:Loss: 1.710565 Acc: 52.343750
