Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.113023554321624,21.335554785690523,14.459402577171364,1e-05,1731463660.861858
2,1.833759289537275,35.92015259597473,18.33047335106883,1e-05,1731463686.3724537
3,1.7659392739241977,40.42246453667251,21.242363020625888,1e-05,1731463712.4004974
4,1.7327009679586918,42.44565932860455,23.8390693317086,1e-05,1731463738.2864964
5,1.6933887791965896,44.64094027129349,26.03922340518469,1e-05,1731463763.888868
6,1.6627668521343133,45.742740706315374,28.078048418291274,1e-05,1731463791.0024817
7,1.6662955345991983,46.22011410358564,30.01774655117085,1e-05,1731463817.8161275
8,1.6436960576085826,47.72247542194319,31.837698139546227,1e-05,1731463846.5281432
9,1.6618305335111667,48.50206873075349,33.59980915210132,1e-05,1731463874.8491108
10,1.6355369209619093,49.2640201944881,35.2738227484035,1e-05,1731463903.3333058
11,1.6494398176461669,49.70163525463979,36.88069632413777,1e-05,1731463932.7978582
12,1.6249820927603056,51.25377729219387,38.449125830995264,1e-05,1731463960.861003
13,1.634580091836145,50.967451396685135,39.93492373347554,1e-05,1731463990.7076998
14,1.633178402170978,51.60872689944341,41.39120509832949,1e-05,1731464021.37942
15,1.6230397012078153,52.390562667989386,42.861401428645216,1e-05,1731464052.0799162
16,1.604925400375301,53.11871074995448,44.2280121509503,1e-05,1731464085.2076936
17,1.67637582146442,52.73057815327697,45.645687366069744,1e-05,1731464116.855547
18,1.6568336487845847,52.71743947405025,46.97816616075966,1e-05,1731464149.162116
19,1.632283855216545,53.217935296086026,48.3357836554362,1e-05,1731464180.8387384
20,1.6395072670109505,54.423301062941775,49.6513365752768,1e-05,1731464214.621409


Test set:Loss: 1.736269 Acc: 52.294304
