Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.262456229365773,14.991542281364714,14.302597893309777,1e-05,1731995235.3563492
2,2.003375968286546,25.40944923513081,18.26226602518172,1e-05,1731995286.1639209
3,1.8091717747589755,33.376902352087846,21.30459100522914,1e-05,1731995336.89982
4,1.705070329647438,39.651018359691456,23.85114764289475,1e-05,1731995380.4518285
5,1.6708994086864777,42.13163735241451,26.099676641584143,1e-05,1731995431.8756006
6,1.6189354690842932,44.56289846121993,28.10858698671536,1e-05,1731995484.1664422
7,1.6057037540234118,45.9919075293405,30.07515188542624,1e-05,1731995535.4081435
8,1.5790996905919668,47.38030353053646,31.896915603577952,1e-05,1731995587.516193
9,1.5757876502711,48.35100675516214,33.551906165527484,1e-05,1731995639.2381349
10,1.5515796421921773,49.46024091667618,35.26125194668445,1e-05,1731995692.681595
11,1.5475099957588434,50.66713931662552,36.85636365691481,1e-05,1731995746.6418357
12,1.556288235796868,51.01975499068111,38.38619381077015,1e-05,1731995801.3324385
13,1.5017712315615876,52.43788348153379,39.92344048052042,1e-05,1731995847.2918766
14,1.5190986743889998,53.0990981921391,41.417365443221534,1e-05,1731995894.475978
15,1.504161183675416,53.60351554768482,42.88695855946593,1e-05,1731995948.8635263
16,1.5116767246897025,53.84274381925258,44.24590415945211,1e-05,1731996004.222855
17,1.492271483965116,54.75695244043223,45.62462945682305,1e-05,1731996060.1421816
18,1.4775089429438322,54.99641555846048,46.99195852236261,1e-05,1731996116.4436452
19,1.4807472645812187,55.7314169250616,48.34595579737107,1e-05,1731996173.3407142
20,1.4777097649833157,55.6618905820736,49.63797803290237,1e-05,1731996230.4924169
