Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.127298018162193,20.976416825443177,14.276086578387456,1e-05,1731967613.9950972
2,1.8830533355632155,33.44174149237471,18.389838598559653,1e-05,1731967680.7895052
3,1.7939369760147512,38.42795712283765,21.270049550514,1e-05,1731967748.430678
4,1.7230978855372707,42.53630408130356,23.78455769678309,1e-05,1731967815.884539
5,1.695346253347232,44.23715387182951,26.044764464118,1e-05,1731967883.4767032
6,1.6882585891418986,45.68635225583432,28.10349950412101,1e-05,1731967941.361768
7,1.6898052750869723,47.2939886628995,30.04167740343013,1e-05,1731967992.1841793
8,1.6883062660071078,47.21810193283222,31.84679612089924,1e-05,1731968041.8904915
9,1.6262268581107442,49.418044243140784,33.60416111664727,1e-05,1731968087.7120037
10,1.6721803177069952,49.65553777700135,35.25706076501012,1e-05,1731968138.8843088
11,1.6159109870592754,50.99895953408423,36.87664143866255,1e-05,1731968192.384917
12,1.6020386572733882,52.13565692872088,38.40193423311915,1e-05,1731968245.3867774
13,1.6069917685052624,51.676563271084966,39.95788424107496,1e-05,1731968299.216662
14,1.6089666977906838,52.76833457261044,41.383728190184286,1e-05,1731968352.2940142
15,1.581951739034082,53.59295426926231,42.83583435786787,1e-05,1731968413.801436
16,1.6065611788266778,53.79405708280935,44.32100075205822,1e-05,1731968485.3318927
17,1.606988286788018,54.19921348160449,45.62462945682305,1e-05,1731968558.8870783
18,1.59412551335049,54.50566287254161,47.03676521376652,1e-05,1731968625.9987218
19,1.5528596314235206,55.3196856788166,48.32900331295667,1e-05,1731968698.6326544
20,1.5430464772030763,56.43819916300708,49.63797803290237,1e-05,1731968772.5802972
