Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.304129183187636,12.535924793467531,14.328994064799335,1e-05,1731440740.7407532
2,2.28907514506198,17.341781675938478,18.389838598559653,1e-05,1731440775.867274
3,2.2773251720748022,19.644500230698,21.31149046914748,1e-05,1731440812.060232
4,2.2633845007232347,22.59647953971385,23.845109890488168,1e-05,1731440849.024257
5,2.2461891598446178,23.48188216069492,26.05578109824592,1e-05,1731440884.8767812
6,2.224969884075185,23.824943559399028,28.13909357492504,1e-05,1731440921.5176942
7,2.202747580888388,26.24443288417031,30.04167740343013,1e-05,1731440958.9624798
8,2.174032907682934,27.142849919226386,31.8513441766239,1e-05,1731440996.3303928
9,2.142369429827154,27.70535050946197,33.58239642067294,1e-05,1731441035.2170117
10,2.1074262670976207,27.82818690077182,35.2738227484035,1e-05,1731441073.4795983
11,2.0734202069105563,28.62479606808629,36.844191209502405,1e-05,1731441110.0933993
12,2.038241398774467,28.992258896787447,38.42160295974889,1e-05,1731441149.90661
13,2.0063492931662514,30.789358326563445,39.96171025336717,1e-05,1731441189.66437
14,1.98374382640932,30.74690803275244,41.417365443221534,1e-05,1731441227.5346358
15,1.9602311482636825,31.763999515283963,42.83583435786787,1e-05,1731441266.07978
16,1.9440926655174744,31.76082910737773,44.24948320200273,1e-05,1731441308.0839314
17,1.9318877874759208,32.1351763402143,45.62111931099688,1e-05,1731441348.3436606
18,1.923989337776344,31.67101026953876,46.99195852236261,1e-05,1731441383.855371
19,1.908865082851598,32.297845025859786,48.35273534545257,1e-05,1731441415.6609285
20,1.9043693548646468,31.79266693058289,49.614603537416976,1e-05,1731441451.476056


Test set:Loss: 1.897754 Acc: 31.536788
