Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.1787218317107366,18.220645507357176,8.135231434997376,1e-05,1732247528.5154302
2,1.8121420567835904,35.175222413650225,10.073370254215718,1e-05,1732247565.9149404
3,1.7025900487373733,40.18602291182686,11.475175697010997,1e-05,1732247602.3831758
4,1.7089613329913609,41.99450808869651,12.588899108241325,1e-05,1732247640.4498174
5,1.6484593261745013,44.50738546067456,13.620141071278097,1e-05,1732247677.8590314
6,1.634491878372806,46.398958445332,14.557173815734409,1e-05,1732247714.77463
7,1.6696978764500476,46.85311301027151,15.420694199068624,1e-05,1732247752.8033135
8,1.650298950810955,47.59655932417538,16.212969284013102,1e-05,1732247790.5758317
9,1.6000158034838163,49.21776323250575,16.973849221201316,1e-05,1732247829.2522607
10,1.6152486948858795,50.134948698789096,17.736783711924947,1e-05,1732247864.2425246
11,1.6452527812403492,50.16727161743029,18.420993807729925,1e-05,1732247891.1239655
12,1.5975006036663228,50.78043918084172,19.135726742948275,1e-05,1732247917.9037983
13,1.612468641302357,51.7175770666457,19.78868037258541,1e-05,1732247945.394949
14,1.5853305208168442,52.2152510227924,20.439679478651087,1e-05,1732247972.465943
15,1.6519344163066685,52.13597087583871,21.057650533029527,1e-05,1732247999.626177
16,1.6895302723940104,51.68997344433649,21.654790919283887,1e-05,1732248026.4822602
17,1.633546807980455,52.752174794356485,22.2586679697496,1e-05,1732248057.6401196
18,1.5888735272667625,53.88330431211271,22.835074010188485,1e-05,1732248094.1116452
19,1.5691174841310982,54.16684423671353,23.428207870103257,1e-05,1732248133.8985205
20,1.5744417503989976,54.36594212547877,23.980179177011976,1e-05,1732248174.456128
21,1.6050409428004562,53.82404902165053,24.537000374905308,1e-05,1732248213.7089503
22,1.6471963315999427,54.15407551474647,25.07791290200151,1e-05,1732248256.3322997
23,1.5569573549901026,55.54082708198666,25.607964490079308,1e-05,1732248296.4306202
24,1.584751149261748,54.76998197052275,26.15065048004103,1e-05,1732248338.0697105
25,1.588922620644619,55.07397440972167,26.67900452763688,1e-05,1732248379.4277651
26,1.5859692000306171,55.0389809310836,27.182126796420683,1e-05,1732248421.2502928
27,1.5785388138537018,55.59762051423584,27.682966793146527,1e-05,1732248461.8854158
28,1.5438018019732405,56.61193444067176,28.19586361227537,1e-05,1732248502.3199215
29,1.5406499910729097,56.92637666174135,28.690175542457936,1e-05,1732248542.9127586
30,1.5892998162243102,56.54992243377632,29.1790635474566,1e-05,1732248586.1404374
31,1.5785543257752417,57.09729939534447,29.67904267628579,1e-05,1732248628.7948897
32,1.554528201526066,57.41421915180076,30.14923174355089,1e-05,1732248669.575731
33,1.587704234720285,57.126372781669154,30.608928420062,1e-05,1732248701.1338828
34,1.5547854046905991,58.05356366812974,31.10906939180545,1e-05,1732248731.8166845
35,1.568513774996871,57.59007488772024,31.56621151208165,1e-05,1732248763.1910508
36,1.549177898620737,58.30116788845575,32.03137395327475,1e-05,1732248793.8930752
37,1.5379727286140934,58.47662867028471,32.485509079365585,1e-05,1732248826.1602297
38,1.5336947253982436,58.634642961388806,32.95351817221152,1e-05,1732248858.4677465
39,1.508164106538056,59.601683647124624,33.40618862686593,1e-05,1732248888.1611035
40,1.5380264366077163,59.30378503226618,33.84619654334669,1e-05,1732248919.9880774
41,1.4916938409492349,59.68497242651276,34.29101007437954,1e-05,1732248950.2848618
42,1.5396502631020843,59.471155649557815,34.74625254794016,1e-05,1732248983.0885315
43,1.548028868186724,59.53935047044235,35.18246924306016,1e-05,1732249012.5912828
44,1.5303843184422947,60.23887480666104,35.615745339444665,1e-05,1732249045.373787
45,1.5986259095307307,58.36623596538266,36.04843839347037,1e-05,1732249076.626448
46,1.5506455523627145,59.25803099851606,36.48720544077661,1e-05,1732249110.721667
47,1.5045160690191075,60.37745177662733,36.91111752983001,1e-05,1732249154.9352849
48,1.5167423307478844,60.41991772657499,37.33791357659792,1e-05,1732249203.7582324
49,1.5099047878270366,60.71590128645018,37.75892877116933,1e-05,1732249254.6622567
50,1.4809861025178288,60.59465554565541,38.171096701736495,1e-05,1732249305.3800478
51,1.4938238399702108,60.407144357781405,38.60562983449339,1e-05,1732249354.669237
52,1.4710738450647838,60.82243065245084,39.01106127278824,1e-05,1732249404.2015946
53,1.506935928864454,60.96169038343922,39.43553572415069,1e-05,1732249453.48134
54,1.543814392257155,59.96153914090948,39.84193872959757,1e-05,1732249503.179
55,1.5035751499561838,60.55181175461058,40.25047632940417,1e-05,1732249556.7064347
56,1.5001148116650571,61.03496316614844,40.65697489803315,1e-05,1732249603.418106
57,1.5368639811491356,60.645734229992144,41.07600285209124,1e-05,1732249656.59171
58,1.5099114856035196,61.11068008037461,41.459940947059465,1e-05,1732249723.081363
59,1.4767577550026945,61.8435750471971,41.86069792544162,1e-05,1732249774.2044106
60,1.5012872418111582,61.88271947461502,42.26473426488525,1e-05,1732249823.6772563
61,1.514132977070903,61.61391313139843,42.672000802767,1e-05,1732249884.6786306
62,1.505023843018242,61.49906638946534,43.070344140462325,1e-05,1732249936.4441411
63,1.5268680193113244,61.44420031848114,43.45181980724325,1e-05,1732249987.7467155
64,1.5122217800177582,61.417706688125214,43.84982873362252,1e-05,1732250035.109901
65,1.5013982851639935,61.89528874947487,44.35824224754642,1e-05,1732250081.3291943
66,1.4989502543593196,61.68009440126156,44.63189829546988,1e-05,1732250118.3423471
67,1.4463844677576652,62.14541122289617,45.014115938512006,1e-05,1732250156.038242
68,1.4670274260780574,61.719942118595526,45.40773424594856,1e-05,1732250190.8922803
69,1.4627806451654186,62.18930387354715,45.785010480480935,1e-05,1732250229.182524
70,1.5178647120314908,61.82318043190108,46.17956117657194,1e-05,1732250269.678758
71,1.5307768930479424,61.92151628857806,46.55597494656168,1e-05,1732250334.9403794
72,1.509746221034494,61.89627042129571,46.93492614773952,1e-05,1732250389.7786715
73,1.4809541719300403,62.47626025190568,47.322253755978,1e-05,1732250443.920745
74,1.5065880052771123,62.05327821824637,47.691722034413154,1e-05,1732250498.3180883
75,1.484437855931235,62.42706558724869,48.07923766652185,1e-05,1732250551.1274352
76,1.471481474897136,62.86960192270023,48.44136570300586,1e-05,1732250606.794484
77,1.4363443939698133,62.94892949129172,48.82244265430876,1e-05,1732250657.6222591
78,1.4231661224196144,63.24104787496694,49.20224467508901,1e-05,1732250704.2185097
79,1.439631771643258,63.20840550811311,49.567463470724334,1e-05,1732250742.418947
80,1.4603929481809101,62.93291091714068,49.94104694790752,1e-05,1732250777.9045005
