Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.249405672932648,15.313224620295706,14.302597893309777,1e-05,1732000061.2341824
2,1.9688433525241893,27.860097959569025,18.287889444260674,1e-05,1732000111.5212154
3,1.8151282511689848,35.55963769325987,21.23543385469434,1e-05,1732000162.771962
4,1.742254610069924,39.16356280711465,23.80879632686574,1e-05,1732000206.568778
5,1.7138460394408968,41.73892250452755,26.03373715723249,1e-05,1732000257.9368465
6,1.6653667362503526,43.852163069962494,28.10349950412101,1e-05,1732000310.096842
7,1.6257370873871777,45.62158601360719,30.008169259341848,1e-05,1732000361.588923
8,1.599364645884071,47.0278284608226,31.87413077793408,1e-05,1732000412.9994931
9,1.5887733484478583,47.93415455310191,33.63461236749138,1e-05,1732000464.5219874
10,1.563495412520831,48.85398473905956,35.25706076501012,1e-05,1732000517.687016
11,1.573839649504658,49.42160876863024,36.8847493913379,1e-05,1732000570.234435
12,1.5609046108756506,50.49999218854475,38.42160295974889,1e-05,1732000622.8345995
13,1.5208147583907186,51.681805854459085,39.96936123112253,1e-05,1732000677.7654247
14,1.525737958974466,52.31378841026394,41.40241800254878,1e-05,1732000723.5076342
15,1.5137827493472191,53.22046049989022,42.85774997703231,1e-05,1732000779.2752223
16,1.5138926308379217,53.37458763654664,44.2280121509503,1e-05,1732000834.7032108
17,1.519963914902296,53.27941034215694,45.61761012490954,1e-05,1732000889.0370328
18,1.4976946389188572,54.34330830842422,46.96092458464435,1e-05,1732000945.4337234
19,1.508697319549063,54.43665708486135,48.332394342023726,1e-05,1732001002.309459
20,1.4991848308182107,55.23390146153551,49.671363926993344,1e-05,1732001059.1326928
