Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.2530067992908,14.78379064793309,14.236039762533949,1e-05,1731987898.4292955
2,1.9652398183759163,27.73127035888365,18.364432122048893,1e-05,1731987948.7591496
3,1.7904525213725084,35.598360948574005,21.32528069208256,1e-05,1731987999.72461
4,1.7450960481964295,38.81892349082821,23.8148677071406,1e-05,1731988051.234981
5,1.707869711289039,41.492333348959946,26.01727137513783,1e-05,1731988096.9946375
6,1.6303053373223415,44.32405920625692,28.144174764003687,1e-05,1731988149.1441443
7,1.6259755622595549,45.71249914378903,30.02253405211357,1e-05,1731988201.090282
8,1.6050753542263734,46.94925696650291,31.883253599166142,1e-05,1731988251.5714474
9,1.5668228515764562,48.3728751599224,33.59545653677027,1e-05,1731988304.617047
10,1.5849355686527984,48.64328534675833,35.25286948831492,1e-05,1731988357.627507
11,1.552470553892324,49.74515918451375,36.84013306981517,1e-05,1731988411.512802
12,1.54697131975367,50.93508297296522,38.42946799243988,1e-05,1731988465.3084676
13,1.538639971305584,51.69216191991914,39.91578278381648,1e-05,1731988520.031546
14,1.5386937523467674,52.21816397061159,41.39494372431641,1e-05,1731988569.982956
15,1.5538808147513907,52.86266412665693,42.80660083315622,1e-05,1731988625.9020636
16,1.5138491929520204,53.19573532003058,44.26021485404568,1e-05,1731988680.6604538
17,1.4998451044402732,54.21323824935601,45.64919776633981,1e-05,1731988736.5675774
18,1.510586155831606,54.99469376416857,46.99540684090743,1e-05,1731988793.12311
19,1.4938211002557171,55.608379480009305,48.36290420277157,1e-05,1731988848.1932387
20,1.4509039731524516,56.498083123632895,49.65467480333032,1e-05,1731988905.3194702
