Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.30056779725211,11.522274219943878,14.302597893309777,1e-05,1731435429.4428856
2,2.28955260998032,15.510589225871463,18.46595503020436,1e-05,1731435464.9044385
3,2.279158293772087,17.8394709491405,21.31838705303572,1e-05,1731435500.097716
4,2.264580134101536,20.776021372870705,23.79664821534116,1e-05,1731435536.687323
5,2.2470362446820777,23.48675671600997,26.03922340518469,1e-05,1731435573.8880606
6,2.224949106548144,23.65725300370734,28.11367374871816,1e-05,1731435611.1748185
7,2.1992455410915728,26.27923340665251,30.04167740343013,1e-05,1731435647.9930556
8,2.171412675113945,26.00447959776704,31.84224713034223,1e-05,1731435685.5564651
9,2.1423087099105484,26.02331320035364,33.59545653677027,1e-05,1731435722.89108
10,2.115755550954144,26.45767585039745,35.2277127625051,1e-05,1731435760.602963
11,2.093053629556736,25.89444304126476,36.86041969255827,1e-05,1731435800.5343297
12,2.070252945874404,26.80633168662668,38.35469877429497,1e-05,1731435839.863648
13,2.0469525512432893,26.757301218499336,39.881312645378486,1e-05,1731435879.2949235
14,2.0268753899702334,27.352854713209325,41.4136287513795,1e-05,1731435919.2617545
15,2.009940460055313,28.77444148878044,42.88695855946593,1e-05,1731435958.2018404
16,1.9989270604889968,28.61227616447203,44.2280121509503,1e-05,1731435997.211283
17,1.987213558413916,29.54922382584574,45.63866957626295,1e-05,1731436034.046574
18,1.9757671658224707,30.16255974501012,46.981615704143,1e-05,1731436065.866754
19,1.966016563578678,30.215360816640167,48.332394342023726,1e-05,1731436097.5989838
20,1.964015935728063,30.26122824472095,49.64465928027031,1e-05,1731436130.670323


Test set:Loss: 1.952590 Acc: 31.823576 
