Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.191698398531937,17.18684328275579,14.302597893309777,1e-05,1731971714.6229274
2,1.9334634094358347,29.2658658906362,18.39829555262221,1e-05,1731971783.561662
3,1.765181928613007,38.76385046651346,21.32528069208256,1e-05,1731971853.8909757
4,1.6809350628491222,42.327257143461374,23.80879632686574,1e-05,1731971924.072123
5,1.6549095220344012,44.721554256785886,26.072260772307487,1e-05,1731971988.0955124
6,1.6034347200054897,46.58784863204574,28.13401125831378,1e-05,1731972058.7467427
7,1.6175277838403304,47.319761685877175,30.012958249530023,1e-05,1731972130.2927692
8,1.5813085789561483,49.07421704756445,31.90146617332716,1e-05,1731972201.5129228
9,1.6321312882759014,48.94535064700132,33.59545653677027,1e-05,1731972274.638316
10,1.5749285246196547,49.94526514142864,35.28220119432328,1e-05,1731972346.4421766
11,1.6009003684831702,50.25476611407114,36.86853236595359,1e-05,1731972418.9708197
12,1.638020057513796,50.10636290081669,38.42160295974889,1e-05,1731972492.9300206
13,1.5567235852272705,51.79395570084628,39.92726831507088,1e-05,1731972566.456736
14,1.5118880988834622,53.05399369559189,41.40241800254878,1e-05,1731972633.427991
15,1.518040204902629,53.79935249457596,42.84314073905104,1e-05,1731972708.7405992
16,1.5398598455247423,54.11195745202819,44.23159042784675,1e-05,1731972784.4191096
17,1.5361465549952276,54.27192537763968,45.607078840610654,1e-05,1731972858.6892056
18,1.5258190420744455,54.33035671403806,47.02987469958262,1e-05,1731972935.1232162
19,1.5239144640221989,55.24216051870405,48.31543936004851,1e-05,1731973011.2682133
20,1.5155016906241066,55.56174947900008,49.634639219656016,1e-05,1731973088.72617
