Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.302105869150328,12.990442473902284,14.328994064799335,1e-05,1731447508.4360335
2,2.280465760847905,18.015031584307685,18.338972062883897,1e-05,1731447543.4779222
3,2.257763965676228,21.39488486637237,21.290783245225505,1e-05,1731447579.7156186
4,2.224701834396577,24.73997402583116,23.80269082393997,1e-05,1731447615.3669686
5,2.178451646073038,26.308287737482328,26.066771227820247,1e-05,1731447650.2789705
6,2.121158424705948,27.580920331759067,28.12384424714629,1e-05,1731447686.6836357
7,2.0728164851768085,27.97060982160987,30.03689257334129,1e-05,1731447723.2488673
8,2.0247790845883946,29.582405046279085,31.8513441766239,1e-05,1731447761.1205616
9,1.988182289289392,30.33435395821025,33.608512675952994,1e-05,1731447799.1877277
10,1.951564502596055,30.57500297617684,35.2277127625051,1e-05,1731447838.0345314
11,1.9196712456617977,31.58121373074524,36.84013306981517,1e-05,1731447876.282271
12,1.8866372379107947,32.34121117867382,38.42553537706566,1e-05,1731447913.4692554
13,1.859922456741333,32.24987662272659,39.93109647219256,1e-05,1731447949.296741
14,1.837011777057549,32.88849172204348,41.40989223626667,1e-05,1731447987.3432686
15,1.810034292379465,32.97136667077428,42.861401428645216,1e-05,1731448022.244045
16,1.78357148529154,34.14629831697991,44.278098532539,1e-05,1731448054.7260478
17,1.7692731804745172,34.39722408668694,45.66674068644802,1e-05,1731448086.6454947
18,1.7501793760677864,35.69060598547625,46.99195852236261,1e-05,1731448128.7799437
19,1.7403156380568232,35.607972916748736,48.35612682185282,1e-05,1731448170.0843306
20,1.7269699191147427,36.382486001369585,49.614603537416976,1e-05,1731448214.0074854


Test set:Loss: 1.746737 Acc: 36.580301 
