Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,2.3184785692560523,16.729981317114675,9.262040220769242,1e-05,1731651404.9414227
2.0,1.9054233012376007,31.70973184625808,11.448939216624376,1e-05,1731651435.98431
3.0,1.7444706474628215,38.89829480966706,13.04744325173743,1e-05,1731651463.0166671
4.0,1.697436312389866,42.18688289539397,14.40293380224194,1e-05,1731651488.4669883
5.0,1.6948827613098796,43.88656675339514,15.64550728723972,1e-05,1731651516.07172
6.0,1.6826772074480072,46.039286198520266,16.698595384073535,1e-05,1731651549.434715
7.0,1.6498306287113331,46.894312542589766,17.721345400682598,1e-05,1731651587.5401554
8.0,1.6286273288726807,48.760381941838624,18.71319369931716,1e-05,1731651624.0950985
9.0,1.6069885173051253,49.349458974559006,19.62006101890015,1e-05,1731651663.246062
10.0,1.6219218031955058,50.11419350228167,20.48590129493124,1e-05,1731651701.155117
11.0,1.622936824129687,50.649459772629314,21.32746792433517,1e-05,1731651739.5743985
12.0,1.5805712972280277,51.72363220955278,22.144503238208905,1e-05,1731651779.6531177
13.0,1.596948458202954,52.63334114407097,22.922347746476063,1e-05,1731651815.456311
14.0,1.599418562143407,52.99014804815121,23.71179088219576,1e-05,1731651853.1837013
15.0,1.5665098152959716,53.86353644726232,24.465340131787045,1e-05,1731651886.732277
16.0,1.5792774514478891,54.410464620902864,25.160390919484108,1e-05,1731651923.8745766
17.0,1.6230534774409493,53.86569985940003,25.891663930618897,1e-05,1731651961.09173
18.0,1.562634637909578,54.899321461341785,26.60068513262988,1e-05,1731651996.7320418
19.0,1.5479652589722857,55.667805954489694,27.263059643795007,1e-05,1731652032.039427
20.0,1.5498777032907038,56.17823869429422,27.93119667898269,1e-05,1731652072.0983644
21.0,1.5578871391437672,56.66051243926501,28.600044747814177,1e-05,1731652112.550315
22.0,1.5806158943314734,56.36287048289645,29.27984115605138,1e-05,1731652153.101957
23.0,1.5761272057573843,56.67048541722272,29.918172325241528,1e-05,1731652191.5030382
24.0,1.574185567169354,57.04120478001921,30.52984199265315,1e-05,1731652231.7459297
25.0,1.5522464893080972,57.51576946607769,31.149437617454616,1e-05,1731652269.5349245
26.0,1.4935664921251248,58.77796574182474,31.778602186884022,1e-05,1731652303.0509732
27.0,1.5469361495931062,57.78716503034492,32.37200761630159,1e-05,1731652340.95497
28.0,1.5107638620581303,58.73462055129436,32.97863883137345,1e-05,1731652378.235745
29.0,1.5325389099323143,58.53463438887374,33.56336553041992,1e-05,1731652413.2086668
30.0,1.508296333368797,58.8774552475652,34.16746082390685,1e-05,1731652452.4614751
31.0,1.5198968179704408,58.98268075006175,34.75640689904081,1e-05,1731652491.8436933
32.0,1.527953400899624,58.72748270276477,35.32766783920468,1e-05,1731652532.034749
33.0,1.5025506472205097,59.38046292769189,35.905349909194,1e-05,1731652575.633927
34.0,1.4910850178387205,59.617304684981576,36.46178231348768,1e-05,1731652612.9917543
35.0,1.5020106535562328,59.514804008345976,37.02490117589503,1e-05,1731652655.8736892
36.0,1.4993671481410324,59.64697956944419,37.57762895929488,1e-05,1731652697.878881
37.0,1.4863188168105348,60.05495805834503,38.13286215818504,1e-05,1731652741.458529
38.0,1.5142398515787092,59.719804709835934,38.68094433822889,1e-05,1731652786.7081168
39.0,1.518128265884608,59.8148301960835,39.22623738931462,1e-05,1731652827.0424356
40.0,1.4709118526691825,61.065691452209805,39.76881860648003,1e-05,1731652866.5934663
41.0,1.542910506939008,60.293378613662654,40.31575239747189,1e-05,1731652911.1770022
42.0,1.5079034655718084,60.87581881348034,40.83569853196729,1e-05,1731652948.9235709
43.0,1.483038606700637,60.68455132097327,41.35894576259177,1e-05,1731652992.6513877
44.0,1.4529271225495772,61.32689037694391,41.90561707203671,1e-05,1731653033.091385
45.0,1.461035439052752,61.6126935655641,42.42205571508434,1e-05,1731653074.761402
46.0,1.4980241265046876,61.09714840661105,42.95124316657223,1e-05,1731653113.532601
47.0,1.476527740282996,61.52564763605655,43.442879046448375,1e-05,1731653159.6531644
48.0,1.433723453331638,62.01784089012341,43.935692059633126,1e-05,1731653206.0788448
49.0,1.4970903704723146,60.9039971513684,44.48049760946132,1e-05,1731653246.2374177
50.0,1.476733947176023,61.614827170402464,44.97806193443529,1e-05,1731653294.1524112
51.0,1.4689177474410264,61.62829581615754,45.47169547067999,1e-05,1731653337.1602988
52.0,1.4423037515315291,62.36969119872996,45.97044134436411,1e-05,1731653380.5140023
53.0,1.4713163414309105,61.91317011316088,46.4691547383369,1e-05,1731653419.411101
54.0,1.4804543430956316,61.76413720226404,46.98056277705914,1e-05,1731653459.3542483
55.0,1.4498413802238932,62.18300771977415,47.470431334339054,1e-05,1731653500.5783093
56.0,1.4330141198216824,62.57467631351672,47.96171600610469,1e-05,1731653547.495385
57.0,1.4330031671400727,62.90757932331296,48.43943169684678,1e-05,1731653590.1462405
58.0,1.4583062976862478,62.41932633934613,48.93492257086598,1e-05,1731653631.6768472
59.0,1.4388935711375626,62.91675395592934,49.4157545686202,1e-05,1731653673.7276409
60.0,1.4531561635635994,62.595460851883686,49.89570128474492,1e-05,1731653718.914941
,,,,,
,,,,,
	Test set:Loss: 1.508952 Acc: 61.906646 ,,,,,
