Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,2.526106803150444,14.435825919905415,8.192238286236503,1e-05,1732216787.1337612
2.0,1.8805956271467308,31.3231466692908,10.10904481403183,1e-05,1732216819.3791006
3.0,1.694688986416813,39.41085527785649,11.481507128985,1e-05,1732216850.6530924
4.0,1.6550247719857545,42.79196672228879,12.613715682617238,1e-05,1732216881.175926
5.0,1.6484887148489296,45.16813155177133,13.6325733682886,1e-05,1732216912.0990849
6.0,1.6521752605251236,46.32531933543021,14.57315143493494,1e-05,1732216942.1042857
7.0,1.652611307161195,47.24885458820712,15.429238424098424,1e-05,1732216974.1908376
8.0,1.6384251288586509,48.54243248295428,16.214992457875034,1e-05,1732217007.4361029
9.0,1.643641644053989,49.15466434116384,16.99698857896824,1e-05,1732217038.679441
10.0,1.6485254333679935,49.69227935848625,17.727542131107064,1e-05,1732217069.7634132
11.0,1.644995136302093,50.41891614146178,18.42456462027017,1e-05,1732217102.1438198
12.0,1.6369325850211398,51.06880257005605,19.128840809946176,1e-05,1732217134.6975875
13.0,1.622125579599749,51.90845662377852,19.78533918223667,1e-05,1732217167.0975246
14.0,1.6161447294017812,52.61319605963104,20.41364448871984,1e-05,1732217198.8483336
15.0,1.6181582422092042,52.686834453724295,21.052894371087824,1e-05,1732217233.921261
16.0,1.57979062580603,54.0856146951233,21.66563539690916,1e-05,1732217268.428877
17.0,1.571026190418098,54.05665227771303,22.26321524526775,1e-05,1732217302.0804734
18.0,1.5754659726716431,54.82300329420946,22.849931750554244,1e-05,1732217334.8095784
19.0,1.5716567354542867,55.66095449985337,23.431122311346765,1e-05,1732217367.4639916
20.0,1.5538523821208787,55.99382868366608,23.984477322004828,1e-05,1732217399.1857796
21.0,1.534320988296001,56.26502150628202,24.53559096539711,1e-05,1732217432.283543
22.0,1.547282911666877,56.39637246782917,25.087614867808824,1e-05,1732217465.4043386
23.0,1.5174818952270106,56.80568587077257,25.607964490079308,1e-05,1732217501.610391
24.0,1.529091062575159,56.96775024056237,26.154691641446256,1e-05,1732217535.1924582
25.0,1.50739489207093,57.75061161448658,26.665721001052773,1e-05,1732217569.7581396
26.0,1.524674995774808,57.82629290550172,27.188685191582707,1e-05,1732217603.856943
27.0,1.528495628791943,57.89027846174526,27.69593499261708,1e-05,1732217634.9544332
28.0,1.507160142600843,58.45705906558274,28.19586361227537,1e-05,1732217670.5567198
29.0,1.493796939547691,58.90832493945099,28.69397700783199,1e-05,1732217704.8132193
30.0,1.5145340167300805,59.21055461151985,29.19409618452887,1e-05,1732217742.0418212
31.0,1.4964967474055333,59.26869103187934,29.67036013323449,1e-05,1732217775.5022595
32.0,1.471608059338524,59.88955485074171,30.15659857614472,1e-05,1732217810.4630804
33.0,1.4987100010856669,59.45805102660543,30.63448713900082,1e-05,1732217846.13759
34.0,1.470335680624129,60.05969313898167,31.10786439145286,1e-05,1732217882.6205776
35.0,1.486237757430117,60.28519970130958,31.559034086303765,1e-05,1732217920.0109437
36.0,1.4191678814356334,60.96877603535611,32.03729564587988,1e-05,1732217960.2679634
37.0,1.431007828576709,60.60804657704305,32.50429630513346,1e-05,1732217994.330361
38.0,1.4402540568794524,60.8454536497736,32.95235270020653,1e-05,1732218028.084277
39.0,1.4775530150398664,60.9015272451272,33.399251832283845,1e-05,1732218066.21013
40.0,1.4480122306371388,61.358691212542425,33.8427544928993,1e-05,1732218104.2642655
41.0,1.4591187640869907,61.51053951186019,34.296708318698954,1e-05,1732218143.1314812
42.0,1.4539770758986688,61.54891945509758,34.749643417712534,1e-05,1732218181.1437562
43.0,1.4606822924257596,61.28663592925832,35.18808373921791,1e-05,1732218217.8896782
44.0,1.4541551241268265,61.57155380233286,35.61239737265732,1e-05,1732218254.8494315
45.0,1.4197952037117394,62.25999375872321,36.05065872534677,1e-05,1732218290.054803
46.0,1.4320108792238069,61.91928456047548,36.4894100762606,1e-05,1732218327.7580383
47.0,1.4684557474355926,61.72515817389491,36.90892757739287,1e-05,1732218366.30335
48.0,1.4510079388069896,62.27600483112834,37.3433540335086,1e-05,1732218406.3631508
49.0,1.4268302193054787,62.27211610576256,37.75135855598832,1e-05,1732218443.7685492
50.0,1.4456066090145538,62.2311749752917,38.17648140563725,1e-05,1732218484.1418717
51.0,1.4334384704458305,62.87636705266467,38.598137015207335,1e-05,1732218526.1564236
52.0,1.4118266479461057,63.08385938809074,39.00893257314847,1e-05,1732218566.3104486
53.0,1.416590507411443,63.00671126586974,39.437653088412624,1e-05,1732218609.167279
54.0,1.4324201687080105,62.95889474577277,39.8398336902153,1e-05,1732218645.894388
55.0,1.3802358550908478,63.5167353496424,40.25152199941587,1e-05,1732218687.60313
56.0,1.407749371511953,63.344512360673214,40.659057119724274,1e-05,1732218727.3347352
57.0,1.4117397160496392,63.08958609294819,41.06667207092988,1e-05,1732218765.6304526
58.0,1.4168022993283391,63.461397256858376,41.45787768764454,1e-05,1732218804.979647
59.0,1.425562796484718,63.29384619607124,41.86891910212317,1e-05,1732218843.7837796
60.0,1.3908486828129951,63.73961821953319,42.26675996920078,1e-05,1732218886.683839
61.0,1.4147852889351222,63.99978624569408,42.66589127513736,1e-05,1732218933.351944
62.0,1.4185270916057535,63.82290413740523,43.07237764736648,1e-05,1732218990.4713554
63.0,1.4219005917450365,63.7342765882591,43.45485293106674,1e-05,1732219028.8034906
